learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.546875,4.3092182345895304E-7,1000.0,85.5,80.71839279160439,-2.836879432624116,71.34387351778656,1000.0,3068768.0,5663.319999999999,907.3241987474227,37303.51999999999,10690.795847201021,30.960000000000004,9.514671806837939,15.980000000000002,4.757335903418969,15.980000000000002,4.757335903418969,7.699999999999999,1.4321384039831018,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.03125,8.787862154551678E-7,2000.0,88.1,87.00399490643969,15.00000000000001,83.04843304843304,2000.0,3574104.0,9395.98,4440.072822945725,47548.0,21666.870171310118,41.67999999999999,19.43953472190324,21.339999999999996,9.71976736095162,21.339999999999996,9.71976736095162,8.219999999999999,2.597408441551867,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.578125,1.2944783278120061E-6,3000.0,84.89999999999999,82.21778386481748,18.81720430107528,74.36332767402376,3000.0,2938232.0,7535.160000000002,5361.044603357043,38839.67999999999,25920.875065097785,31.999999999999996,23.867833361823088,16.499999999999996,11.933916680911544,16.499999999999996,11.933916680911544,7.1800000000000015,2.8904487329048103,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,2.015625,1.7111123371351926E-6,4000.0,90.2,88.52669942411055,42.011834319526656,83.9080459770115,4000.0,3681112.0,12413.460000000001,5423.1242904617175,52432.8,23211.61917344547,44.51999999999999,21.64485139326983,22.759999999999994,10.822425696634914,22.759999999999994,10.822425696634914,8.280000000000003,2.365051667037129,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,2.421875,2.116771421343502E-6,5000.0,88.5,87.20957391197962,28.12500000000002,82.19814241486068,5000.0,3859848.0,12825.720000000001,9007.864772338376,54025.43999999998,32562.261354155467,46.95999999999998,31.414256480204678,23.97999999999999,15.707128240102339,23.97999999999999,15.707128240102339,7.780000000000001,3.3459692473305305,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,2.859375,2.513171283579949E-6,6000.0,86.8,84.10197858102933,13.157894736842115,77.31958762886597,6000.0,3502336.0,10283.780000000002,8570.548229291533,47411.83999999999,28762.616746331107,42.919999999999995,27.961956662725935,21.959999999999997,13.980978331362968,21.959999999999997,13.980978331362968,7.46,2.588908839567712,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,3.328125,3.0378531987985806E-6,7000.0,90.10000000000001,88.21456631984952,48.167539267015705,82.90155440414509,7000.0,4326704.0,15200.080000000002,8638.341946537317,62344.0,28643.29890931146,56.399999999999984,27.24716798614686,28.699999999999992,13.62358399307343,28.699999999999992,13.62358399307343,9.16,2.621418839997508,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,3.78125,3.4843116170830198E-6,8000.0,87.0,81.81627443438121,23.976608187134516,72.63157894736841,8000.0,3808600.0,11562.76,8970.076694232228,53406.240000000005,30139.04410450109,47.72,30.14728471206328,24.36,15.07364235603164,24.36,15.07364235603164,8.420000000000003,3.2831667142363314,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,3.984375,3.721110244643771E-6,9000.0,91.8,88.25342799351361,52.32558139534888,82.70042194092828,9000.0,4506280.0,16725.760000000002,9543.361809923274,65170.55999999999,32101.392935738688,58.24,31.067773183996383,29.62,15.533886591998192,29.62,15.533886591998192,9.379999999999999,2.7986148177195056,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,4.484375,4.1454539233301245E-6,10000.0,87.6,83.49988689438597,13.286713286713297,75.44554455445545,10000.0,3280576.0,9648.379999999997,9853.701270598986,44117.59999999999,27107.771187899427,37.68000000000001,28.271598209265115,19.340000000000003,14.135799104632557,19.340000000000003,14.135799104632557,7.579999999999999,3.162858433345975,0.0,0.0,0.0,0.0,1.0,0.0
