learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,3.071786421868536E-8,1000.0,93.0,90.74029980263612,50.35460992907805,86.16600790513836,1000.0,969632.0,25.0,692.6799999999997,419.1494516961019,173086.08,170109.01149507103,4.319999999999999,2.809507667427397,25.4,7.52772652709081,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,7.054128218442201E-8,2000.0,95.19999999999999,94.71837959886092,65.7142857142857,93.16239316239316,2000.0,986240.0,25.0,1361.6600000000005,959.1691687526837,174295.67999999993,170589.82900291108,4.72,3.6574125644595616,19.120000000000005,7.201388754955534,1.4000000000000001,0.9999999999999999,1.2000000000000004,0.4999999999999999,1.2000000000000004,0.4999999999999999,0.20000000000000004,0.5,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.703125,1.7909304006025196E-7,3000.0,92.10000000000001,90.51773184145648,57.52688172043015,86.58743633276741,3000.0,994616.0,25.0,1783.5800000000002,1398.000088902511,174439.2,170787.2847859917,4.719999999999999,3.5061850112812545,22.56,7.937673882609858,1.32,1.2489995996796797,1.1600000000000001,0.6244997998398398,1.1600000000000001,0.6244997998398398,0.15999999999999998,0.6244997998398398,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.078125,2.7656526071950796E-7,4000.0,96.39999999999999,95.7424413550863,78.698224852071,94.08866995073892,4000.0,1004736.0,25.0,2210.8999999999996,1789.4039852556998,175119.52000000002,170530.18771050835,3.4400000000000004,2.902297940138699,16.999999999999996,7.427426651719063,1.7199999999999998,1.514375558880073,1.3600000000000003,0.7571877794400365,1.3600000000000003,0.7571877794400365,0.36,0.7571877794400365,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.515625,3.8909489780457487E-7,5000.0,93.8,92.87133448618418,61.24999999999997,90.40247678018575,5000.0,994240.0,25.0,2823.9999999999995,2403.5401526303076,174900.48000000007,170365.2032625902,6.5600000000000005,3.559962546619463,23.760000000000005,7.241546796092668,1.7200000000000002,2.1509687739868903,1.3600000000000003,1.0754843869934452,1.3600000000000003,1.0754843869934452,0.36,1.0754843869934452,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.9375,4.946964003870057E-7,6000.0,91.3,89.54281675649428,42.76315789473688,85.05154639175258,6000.0,967584.0,25.0,3488.7,2985.256207170329,173641.92,170490.9998160583,5.16,4.696452561952124,25.680000000000003,9.39734004918413,1.0799999999999998,0.4,1.04,0.2,1.04,0.2,0.04,0.2,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,2.265625,5.758482600665755E-7,7000.0,90.7,88.70234942539906,51.30890052356021,83.9378238341969,7000.0,956008.0,25.0,4053.600000000001,3477.4339765442687,173307.52000000002,170354.2828786874,4.36,3.8609152628187355,21.399999999999995,10.920164833920778,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,2.625,6.646864737073581E-7,8000.0,90.8,87.262469281091,46.19883040935676,80.63157894736842,8000.0,955552.0,25.0,4559.039999999998,4031.129162517366,173306.87999999995,170337.43501226246,4.8,4.123105625617661,25.48,11.008027373996972,1.0800000000000003,0.39999999999999997,1.0400000000000003,0.19999999999999998,1.0400000000000003,0.19999999999999998,0.039999999999999994,0.19999999999999996,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.96875,7.507691366804971E-7,9000.0,92.60000000000001,89.8138971478912,56.976744186046545,84.38818565400845,9000.0,968000.0,25.0,4994.060000000001,4434.580353843403,173650.24000000002,170494.58789358224,4.359999999999999,3.4385074281340926,19.44,8.129575634681064,1.0800000000000003,0.39999999999999997,1.0400000000000003,0.19999999999999998,1.0400000000000003,0.19999999999999998,0.04000000000000001,0.2,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,3.3125,8.380790111712284E-7,10000.0,93.0,90.7524225350252,51.04895104895108,86.13861386138615,10000.0,981800.0,25.0,5273.720000000002,4927.717831008674,174172.96,170528.2011624841,5.4399999999999995,4.848367422820455,21.12,8.135928547703287,1.32,0.7483314773547882,1.1600000000000004,0.3741657386773942,1.1600000000000004,0.3741657386773942,0.16000000000000003,0.37416573867739417,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,3.625,9.187321928847168E-7,11000.0,93.2,91.11985196270861,62.01117318435758,86.89788053949906,11000.0,997640.0,25.0,5788.0599999999995,5386.847620087357,174750.40000000002,170603.82931128322,4.5200000000000005,3.5014282800023198,21.24,8.520954563114785,1.56,1.3564659966250536,1.2800000000000002,0.6782329983125267,1.2800000000000002,0.6782329983125267,0.28,0.6782329983125268,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,4.03125,1.0224261010686557E-6,12000.0,90.60000000000001,88.09250854109162,31.884057971014517,82.94010889292197,12000.0,986648.0,25.0,6608.580000000001,5964.381843844647,174391.35999999996,170524.54727330522,6.039999999999999,4.756399198273137,25.84,9.994498486667554,1.4799999999999998,1.446835627614047,1.2400000000000002,0.7234178138070235,1.2400000000000002,0.7234178138070235,0.24000000000000005,0.7234178138070235,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,4.421875,1.1204849902747407E-6,13000.0,91.4,88.5486476085981,39.860139860139896,82.90258449304176,13000.0,970352.0,25.0,7011.020000000001,6599.694515162758,174059.52,170204.88215476053,5.52,3.618471132029843,24.559999999999995,8.093618885681897,1.4,1.2909944487358056,1.2000000000000006,0.6454972243679029,1.2000000000000006,0.6454972243679029,0.19999999999999998,0.6454972243679028,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,4.765625,1.2076155851698585E-6,14000.0,93.30000000000001,91.16721904505773,31.632653061224524,86.54618473895583,14000.0,979784.0,25.0,7444.640000000001,6878.357052763843,173979.68,170643.05938843958,4.6,5.809475019311125,18.880000000000003,7.019734088031161,1.1600000000000004,0.7999999999999999,1.0800000000000003,0.39999999999999997,1.0800000000000003,0.39999999999999997,0.08000000000000002,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,5.03125,1.275707359632684E-6,15000.0,91.8,90.13092174783783,43.448275862068996,85.71428571428571,15000.0,990896.0,25.0,7908.200000000001,7424.434752070699,174289.28000000003,170782.54440543236,5.52,5.252935687149932,21.439999999999998,9.278469701410895,1.2400000000000002,0.8793937305515278,1.1200000000000003,0.4396968652757639,1.1200000000000003,0.4396968652757639,0.12000000000000005,0.4396968652757639,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,5.390625,1.3647687026403017E-6,16000.0,92.2,90.50999066815749,52.43902439024394,86.52849740932645,16000.0,957952.0,25.0,8473.4,8134.387906428172,173533.91999999998,170217.4425197155,5.879999999999998,4.235957192103496,24.48,8.751761727408566,1.1600000000000004,0.8,1.0800000000000003,0.39999999999999997,1.0800000000000003,0.39999999999999997,0.08000000000000002,0.4,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,5.734375,1.4511615477709306E-6,17000.0,90.0,88.5252673612705,37.50000000000003,84.375,17000.0,971488.0,25.0,9010.099999999999,8755.42726669858,173713.6,170570.55582452007,7.24,5.34072404579504,26.440000000000005,9.429916931412139,1.0800000000000003,0.39999999999999997,1.0400000000000003,0.19999999999999998,1.0400000000000003,0.19999999999999998,0.04000000000000001,0.19999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,6.09375,1.5414456397088038E-6,18000.0,91.3,89.51612708864054,37.41007194244607,85.15358361774744,18000.0,971104.0,25.0,9623.22,9105.435313961365,173893.44000000003,170384.8757909347,4.000000000000002,4.102844541697057,23.639999999999997,9.608503178608693,1.2400000000000002,0.8793937305515278,1.12,0.4396968652757639,1.12,0.4396968652757639,0.12000000000000002,0.43969686527576396,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,6.453125,1.631003073675351E-6,19000.0,92.7,91.6777819578873,45.52238805970153,88.68217054263566,19000.0,963288.0,25.0,10213.18,9515.140456436484,173749.44,170218.2265225917,3.1999999999999997,2.798809270624444,18.360000000000003,8.118292102817357,1.3200000000000003,1.2489995996796794,1.1600000000000004,0.6244997998398397,1.1600000000000004,0.6244997998398397,0.16,0.6244997998398398,0.0,0.0,0.0,0.0,1.0,0.0
