learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.421875,9.724753908813E-8,1000.0,88.3,84.34920796290896,17.021276595744695,76.87747035573122,1000.0,908296.0,20.0,2.0,5855.549999999999,451.71445044058754,24122.4,2653.386285286666,11.000000000000002,1.5894388284780527,6.000000000000001,0.7947194142390264,6.000000000000001,0.7947194142390264,4.300000000000001,0.5712405705774795,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.625,1.5120904815072814E-7,2000.0,90.5,89.54336421893333,32.14285714285717,86.46723646723648,2000.0,1026888.0,20.0,4.0,10758.199999999999,3317.1770909361435,30022.0,8411.306626077469,16.599999999999998,5.335087430842801,8.799999999999999,2.6675437154214006,8.799999999999999,2.6675437154214006,5.2,1.6415653633362466,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.6875,1.682406097340087E-7,3000.0,89.0,86.61860719164709,40.86021505376347,81.32427843803057,3000.0,1053360.0,20.0,11.0,13881.8,6138.0218534707265,31314.0,9930.798494423401,19.7,9.044335243676011,10.35,4.522167621838006,10.35,4.522167621838006,6.350000000000001,2.1830688201896455,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.734375,1.817584658662478E-7,4000.0,91.5,90.14341905079966,49.70414201183435,86.04269293924467,4000.0,1114728.0,20.0,12.0,19532.5,6778.543287850505,34211.200000000004,9355.303689126798,22.3,8.663899693252274,11.65,4.331949846626137,11.65,4.331949846626137,7.05,2.1636956688426445,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.734375,1.817584658662478E-7,5000.0,90.3,89.09129350268444,39.37500000000003,84.98452012383902,5000.0,968152.0,20.0,20.0,15386.199999999999,11872.315233791862,27114.8,11901.022908711848,16.199999999999996,11.019599763483626,8.6,5.509799881741813,8.6,5.509799881741813,5.1,2.900090742681938,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.734375,1.817584658662478E-7,6000.0,88.7,86.45171655552278,25.657894736842124,80.58419243986253,6000.0,989408.0,20.0,27.0,13403.8,11619.641885051455,28202.000000000004,11726.751962028846,17.5,11.587198017412872,9.25,5.793599008706436,9.25,5.793599008706436,5.250000000000001,2.8996370008747827,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.734375,1.817584658662478E-7,7000.0,90.2,88.29253840465529,48.69109947643979,83.0742659758204,7000.0,1101200.0,20.0,28.0,18828.85,12100.420002606259,33541.600000000006,12303.494096778917,20.999999999999996,11.964860832322378,10.999999999999998,5.982430416161189,10.999999999999998,5.982430416161189,6.15,2.6011131220468307,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.796875,1.9940534710056252E-7,8000.0,87.7,82.34154044935755,28.07017543859651,74.10526315789474,8000.0,1091416.0,20.0,34.0,20277.100000000006,13807.360138327445,33138.4,15424.974658001873,20.65,13.522982386721464,10.8,6.802476329288204,10.8,6.802476329288204,6.0,3.0607876523260447,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.8125,2.0359688076294132E-7,9000.0,91.10000000000001,87.12455044427536,48.2558139534884,81.22362869198312,9000.0,1036944.0,20.0,38.0,19807.3,13702.24679271327,30426.0,15020.766621405739,18.399999999999995,13.963863136117116,9.699999999999998,6.981931568058558,9.699999999999998,6.981931568058558,5.5,2.9468984587725098,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.84375,2.1171574998233056E-7,10000.0,88.4,84.30597928659851,18.881118881118898,77.02970297029704,10000.0,1004264.0,20.0,41.0,20958.350000000006,13480.84441863616,28922.000000000004,10493.720829243803,16.299999999999997,9.364546803882464,8.65,4.682273401941232,8.65,4.682273401941232,5.4,2.583347481568501,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.859375,2.1585373259666896E-7,11000.0,91.2,88.84439323006792,50.837988826815675,83.04431599229288,11000.0,1023696.0,20.0,45.0,24227.050000000003,16374.898799124805,29802.000000000004,11153.266068735204,17.6,9.40548552147824,9.299999999999999,4.702742760739121,9.299999999999999,4.702742760739121,5.85,2.539685019840059,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.9375,2.338960055365331E-7,12000.0,86.4,83.11781653783659,1.449275362318842,75.31760435571688,12000.0,892696.0,20.0,55.0,18724.200000000004,18319.70724484543,23555.199999999997,14991.99671965363,14.15,11.802207643621506,7.55,5.933624081186986,7.55,5.933624081186986,4.35,3.313052337267506,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.9375,2.338960055365331E-7,13000.0,89.2,85.16770790272766,24.475524475524495,78.52882703777337,13000.0,967168.0,20.0,58.0,19655.2,17192.439007032313,27035.200000000004,11251.649449139259,15.600000000000001,8.851999476775973,8.3,4.425999738387986,8.3,4.425999738387986,5.100000000000001,2.359750209795854,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.9375,2.338960055365331E-7,14000.0,91.7,89.0433960719915,15.30612244897961,83.33333333333334,14000.0,1006272.0,20.0,59.0,23735.100000000002,17581.36185342457,28844.0,10853.291210746313,17.2,9.51231888270761,9.100000000000001,4.756159441353805,9.100000000000001,4.756159441353805,5.3500000000000005,2.3004576203785834,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.96875,2.4038169714104803E-7,15000.0,88.0,85.69678129901831,17.24137931034484,79.09407665505226,15000.0,802248.0,20.0,71.0,14788.199999999999,16818.672597975583,19050.399999999998,11935.369279229652,11.499999999999998,10.77765720074832,6.249999999999999,5.38882860037416,6.249999999999999,5.38882860037416,3.4999999999999996,2.7815179498365916,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.984375,2.441719536566073E-7,16000.0,88.7,86.35647982690841,31.097560975609778,80.48359240069085,16000.0,937672.0,20.0,78.0,13163.200000000003,14125.452680589706,25618.799999999996,13728.803135628472,14.15,11.712678690430433,7.55,5.889106803868344,7.55,5.889106803868344,4.05,2.41650029675366,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.171875,2.9103649366233093E-7,17000.0,86.8,85.02042669087608,17.500000000000014,79.375,17000.0,966152.0,20.0,85.0,13158.1,8964.847853818004,26942.0,11035.346044224869,15.500000000000002,9.173761209931405,8.250000000000002,4.586880604965703,8.250000000000002,4.586880604965703,4.6000000000000005,2.087557121815378,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.203125,2.988511308406791E-7,18000.0,86.9,84.37760870083717,5.755395683453242,77.64505119453923,18000.0,966632.0,20.0,89.0,16469.7,10169.844738762058,26889.600000000006,14147.841012156701,16.099999999999998,10.612306659326189,8.549999999999999,5.306153329663094,8.549999999999999,5.306153329663094,4.799999999999999,2.6076809620810595,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.21875,3.025285615068344E-7,19000.0,90.0,88.90940648688816,25.373134328358233,84.49612403100775,19000.0,909760.0,20.0,92.0,18364.75,8870.065785521192,24073.6,14118.720824717646,13.7,9.454043969033625,7.35,4.727021984516813,7.35,4.727021984516813,4.3999999999999995,3.05045294307169,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.28125,3.1683095989541885E-7,20000.0,84.39999999999999,80.01393899639226,-25.806451612903246,68.29268292682926,20000.0,884568.0,20.0,101.0,16538.999999999996,12711.413491322215,23022.0,18005.427555981118,12.700000000000001,11.969698584781753,6.8500000000000005,5.9848492923908765,6.8500000000000005,5.9848492923908765,3.5500000000000003,3.3320611607453077,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.390625,3.4601392043340547E-7,21000.0,84.1,80.88308140681283,13.114754098360665,71.40287769784172,21000.0,1031368.0,20.0,112.0,17826.55,15576.243491713845,30245.6,20785.724510118147,16.7,14.01164928869809,8.85,7.005824644349045,8.85,7.005824644349045,5.1499999999999995,3.6602415796027223,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.390625,3.4601392043340547E-7,22000.0,89.5,88.73779659817102,43.85026737967917,85.53719008264463,22000.0,1014064.0,20.0,114.0,20783.45,16644.040458579828,29273.599999999995,22856.76694548028,17.3,15.84497263786646,9.15,7.92248631893323,9.15,7.92248631893323,5.1,4.1536287242539345,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.40625,3.4966713024510285E-7,23000.0,76.4,73.94087892115239,-56.291390728476784,58.813263525305416,23000.0,903768.0,20.0,118.0,20787.2,16774.892022869997,24074.399999999998,20142.18178324964,14.200000000000001,14.486291160229637,7.6000000000000005,7.243145580114819,7.6000000000000005,7.243145580114819,4.3999999999999995,4.096211343231824,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.5,3.7271193125181736E-7,24000.0,79.80000000000001,77.13835595353427,-36.48648648648644,66.55629139072849,24000.0,950176.0,20.0,128.0,20512.449999999997,19518.685259528273,26338.0,20973.155353300663,15.849999999999996,14.658480570358543,8.399999999999999,7.3584895475262195,8.399999999999999,7.3584895475262195,4.8999999999999995,3.905461762576529,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.5625,3.856045400930776E-7,25000.0,77.5,74.34722231723252,-93.9655172413793,63.88443017656501,25000.0,797376.0,20.0,135.0,17621.249999999996,18393.337717986225,18635.600000000002,19177.36885086443,10.800000000000002,13.438358295722383,5.9,6.71917914786119,5.9,6.71917914786119,3.1999999999999997,3.9550101470360217,0.0,0.0,0.0,0.0,1.0,0.0
