learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.359375,3.4326221793890004E-7,1000.0,89.5,86.04662288407003,25.531914893617042,79.24901185770752,1000.0,3715864.0,6095.5,521.3487134468236,30133.800000000007,13297.247422785844,25.374999999999996,11.856072524078224,13.187499999999998,5.928036262039112,13.187499999999998,5.928036262039112,6.825,1.8264928002505478,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.078125,1.2553362305172616E-6,2000.0,92.9,92.17220272010444,49.28571428571433,89.8860398860399,2000.0,4905176.0,11046.687499999998,3576.43657104068,40664.4,24890.460315631983,40.824999999999996,21.9601336142208,20.912499999999998,10.9800668071104,20.912499999999998,10.9800668071104,9.150000000000002,2.929984663199157,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,2.0625,2.9211268540368316E-6,3000.0,91.8,90.19151661880046,55.913978494623684,86.07809847198644,3000.0,6541272.0,14740.862500000003,5349.422904504202,56841.20000000002,37916.021392519215,58.325,37.29179330766041,29.6625,18.645896653830206,29.6625,18.645896653830206,10.549999999999999,4.477510610352898,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,3.0625,5.140091881104228E-6,4000.0,91.5,90.11653190267226,49.70414201183435,86.04269293924467,4000.0,8577344.0,23184.275000000005,4661.757961381772,78017.30000000002,50392.34003182968,83.25,43.02883931339804,42.125,21.51441965669902,42.125,21.51441965669902,12.45,4.42347019969559,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,4.203125,8.24412395660248E-6,5000.0,90.9,89.72104497438168,43.12500000000003,85.91331269349845,5000.0,1.0519272E7,29709.475000000006,8356.883281258764,99157.9,66606.11178699955,112.15,61.66859159956078,56.575,30.83429579978039,56.575,30.83429579978039,13.6625,4.64415721122053,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,5.6875,1.2859422163779124E-5,6000.0,88.8,86.4699003604805,26.31578947368423,80.75601374570446,6000.0,1.2018728E7,33424.837499999994,13428.801012903032,115735.40000000002,95353.62764177128,140.02500000000003,88.65349629350943,70.51250000000002,44.32674814675472,70.51250000000002,44.32674814675472,14.6,5.020464449743592,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,7.09375,1.8242859546767756E-5,7000.0,90.5,88.7359080280962,50.26178010471204,83.5924006908463,7000.0,1.479788E7,39985.08750000002,15782.195563831781,146955.69999999995,127713.66282513653,174.34999999999994,120.4232094203132,87.67499999999997,60.2116047101566,87.67499999999997,60.2116047101566,15.587500000000004,5.656168918574042,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,8.75,2.456674484872363E-5,8000.0,90.3,86.39217199172307,43.27485380116961,79.57894736842105,8000.0,1.475912E7,43161.97500000001,21207.850830171603,148992.99999999997,138117.89761328517,185.67499999999993,157.67068508986972,93.33749999999996,78.83534254493486,93.33749999999996,78.83534254493486,15.35,6.14405135790771,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,10.140625,3.0770981975365434E-5,9000.0,92.60000000000001,89.51009299160808,56.976744186046545,84.38818565400845,9000.0,1.7245696E7,52241.7375,21077.93338820396,177671.7,163233.58439469265,221.75000000000003,189.33551359652728,111.37500000000001,94.66775679826364,111.37500000000001,94.66775679826364,16.6375,6.12577817324853,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,11.734375,3.798331492968525E-5,10000.0,90.2,86.98530534731307,31.46853146853149,80.5940594059406,10000.0,1.7492744E7,52327.92499999998,27395.774475422808,183497.30000000002,191688.89612898647,235.55,240.7524018308888,118.275,120.3762009154444,118.275,120.3762009154444,16.35,7.461462170480996,0.0,0.0,0.0,0.0,1.0,0.0
