learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.015625,2.2183586325910357E-11,1000.0,83.39999999999999,76.9571180295282,-17.730496453900724,67.19367588932805,1000.0,5488.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
2000.0,0.015625,2.2183586325910357E-11,2000.0,88.0,86.53095859167702,14.285714285714295,82.90598290598292,2000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
3000.0,0.015625,2.2183586325910357E-11,3000.0,80.7,78.04737671838994,-3.7634408602149962,67.23259762309,3000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
4000.0,0.015625,2.2183586325910357E-11,4000.0,88.7,86.95568858957517,33.13609467455623,81.44499178981938,4000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
5000.0,0.015625,2.2183586325910357E-11,5000.0,83.8,82.37766619383696,-1.2500000000000009,74.92260061919505,5000.0,14272.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
6000.0,0.015625,2.2183586325910357E-11,6000.0,80.60000000000001,77.18602561750608,-27.631578947368368,66.66666666666667,6000.0,18720.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0
7000.0,0.015625,2.2183586325910357E-11,7000.0,88.3,85.8591474395388,38.743455497382186,79.79274611398964,7000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
8000.0,0.03125,1.0218678249253167E-10,8000.0,82.69999999999999,75.27511790767471,-1.1695906432748546,63.57894736842105,8000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
9000.0,0.03125,1.0218678249253167E-10,9000.0,89.7,84.93874602631479,40.11627906976747,78.27004219409282,9000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
10000.0,0.03125,1.0218678249253167E-10,10000.0,83.2,76.67719432200741,-17.482517482517494,66.73267326732673,10000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
11000.0,0.03125,1.0218678249253167E-10,11000.0,88.4,85.34848502072052,35.195530726257005,77.64932562620425,11000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
12000.0,0.03125,1.0218678249253167E-10,12000.0,80.2,75.95753955774016,-43.47826086956517,64.06533575317606,12000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
13000.0,0.03125,1.0218678249253167E-10,13000.0,83.1,76.15547196645399,-18.181818181818198,66.40159045725646,13000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
14000.0,0.03125,1.0218678249253167E-10,14000.0,89.1,85.2395126059979,-11.22448979591838,78.1124497991968,14000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
15000.0,0.03125,1.0218678249253167E-10,15000.0,76.2,73.36317851147174,-64.13793103448273,58.536585365853654,15000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
16000.0,0.03125,1.0218678249253167E-10,16000.0,67.5,66.07161499112642,-98.170731707317,43.868739205526786,16000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
17000.0,0.03125,1.0218678249253167E-10,17000.0,78.2,76.7966621253406,-36.24999999999996,65.9375,17000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
18000.0,0.03125,1.0218678249253167E-10,18000.0,79.9,76.45978605341872,-44.60431654676255,65.69965870307168,18000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
19000.0,0.03125,1.0218678249253167E-10,19000.0,89.4,88.30841518361855,20.89552238805972,83.56589147286823,19000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
20000.0,0.03125,1.0218678249253167E-10,20000.0,72.3,68.4721393872896,-123.38709677419357,43.699186991869915,20000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
21000.0,0.078125,3.4219637099239565E-10,21000.0,58.4,57.8763183902273,-127.32240437158467,25.179856115107903,21000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
22000.0,0.078125,3.4219637099239565E-10,22000.0,84.0,83.45603441144843,14.4385026737968,77.96143250688705,22000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
23000.0,0.078125,3.4219637099239565E-10,23000.0,65.0,63.74608587205684,-131.78807947019862,38.91797556719023,23000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
24000.0,0.09375,4.2219956715901696E-10,24000.0,64.9,64.06030496520711,-137.1621621621621,41.88741721854305,24000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
25000.0,0.09375,4.2219956715901696E-10,25000.0,74.8,72.71159075182815,-117.24137931034484,59.55056179775281,25000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
26000.0,0.09375,4.2219956715901696E-10,26000.0,75.1,72.77778142198375,-77.85714285714283,55.376344086021504,26000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
27000.0,0.09375,4.2219956715901696E-10,27000.0,65.7,64.73116510544662,-220.56074766355144,41.86440677966102,27000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
28000.0,0.09375,4.2219956715901696E-10,28000.0,64.3,62.27372158640586,-292.30769230769243,39.49152542372881,28000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
29000.0,0.09375,4.2219956715901696E-10,29000.0,67.5,66.55711119297473,-180.17241379310343,47.49596122778676,29000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
30000.0,0.09375,4.2219956715901696E-10,30000.0,66.2,64.86428048699355,-212.962962962963,44.039735099337754,30000.0,19792.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
31000.0,0.09375,4.2219956715901696E-10,31000.0,72.3,69.29788587680582,-85.90604026845637,55.39452495974234,31000.0,24560.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0,6.0
32000.0,0.09375,4.2219956715901696E-10,32000.0,77.10000000000001,72.4197734567418,-59.02777777777774,60.585197934595534,32000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
33000.0,0.09375,4.2219956715901696E-10,33000.0,71.6,65.16491469083861,-142.73504273504278,47.88990825688073,33000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
34000.0,0.09375,4.2219956715901696E-10,34000.0,73.3,66.71279500317911,-88.0281690140845,56.58536585365853,34000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
35000.0,0.09375,4.2219956715901696E-10,35000.0,61.7,53.66270319449081,-213.9344262295082,33.851468048359244,35000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
36000.0,0.09375,4.2219956715901696E-10,36000.0,79.4,76.52689152233364,-33.76623376623372,70.31700288184439,36000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
37000.0,0.09375,4.2219956715901696E-10,37000.0,78.9,75.87725064679837,-30.246913580246865,67.48844375963021,37000.0,29328.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0,7.0
