learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.015625,1.8949827386273277E-11,1000.0,82.5,75.65772818445599,-24.113475177304984,65.41501976284584,1000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.015625,1.8949827386273277E-11,2000.0,87.7,86.45696618425572,12.142857142857153,82.47863247863248,2000.0,13744.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
3000.0,0.015625,1.8949827386273277E-11,3000.0,79.10000000000001,73.52982896976576,-12.36559139784941,64.51612903225808,3000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4000.0,0.015625,1.8949827386273277E-11,4000.0,88.3,86.16932995723131,30.769230769230788,80.78817733990148,4000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.015625,1.8949827386273277E-11,5000.0,82.3,79.90239604315647,-10.625000000000009,72.60061919504643,5000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.015625,1.8949827386273277E-11,6000.0,79.2,74.69377028756638,-36.84210526315785,64.26116838487972,6000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.015625,1.8949827386273277E-11,7000.0,82.3,79.68258924164402,7.329842931937123,69.43005181347151,7000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.015625,1.8949827386273277E-11,8000.0,80.2,74.90335255719629,-15.789473684210472,58.31578947368422,8000.0,18752.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.015625,1.8949827386273277E-11,9000.0,87.2,81.52467610447796,25.581395348837226,72.9957805907173,9000.0,18752.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.046875,2.058610940972964E-10,10000.0,85.0,80.09263560233049,-4.8951048951048985,70.29702970297029,10000.0,23120.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.046875,2.058610940972964E-10,11000.0,87.4,84.42604410395987,29.60893854748605,75.72254335260115,11000.0,23440.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.046875,2.058610940972964E-10,12000.0,80.4,75.25605563852633,-42.02898550724633,64.42831215970963,12000.0,23440.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.046875,2.058610940972964E-10,13000.0,84.7,78.0903051748408,-6.993006993006999,69.58250497017893,13000.0,23416.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.046875,2.058610940972964E-10,14000.0,89.7,85.85976733139489,-5.102040816326536,79.31726907630522,14000.0,23416.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.046875,2.058610940972964E-10,15000.0,75.2,71.92270592657334,-71.03448275862067,56.79442508710801,15000.0,23736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.046875,2.058610940972964E-10,16000.0,68.89999999999999,66.65379996568879,-89.6341463414634,46.28670120898099,16000.0,23736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.046875,2.058610940972964E-10,17000.0,79.2,77.75876817792987,-29.99999999999995,67.5,17000.0,23736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.046875,2.058610940972964E-10,18000.0,77.10000000000001,71.94260117816572,-64.7482014388489,60.92150170648464,18000.0,23736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
19000.0,0.046875,2.058610940972964E-10,19000.0,90.10000000000001,88.95070788015424,26.119402985074647,84.65116279069768,19000.0,28424.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
20000.0,0.046875,2.058610940972964E-10,20000.0,87.4,83.50310298777134,-1.6129032258064528,74.39024390243902,20000.0,32792.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
21000.0,0.046875,2.058610940972964E-10,21000.0,79.2,75.73019443848071,-13.661202185792298,62.589928057553955,21000.0,33112.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
22000.0,0.046875,2.058610940972964E-10,22000.0,85.9,85.03480204545599,24.59893048128344,80.57851239669421,22000.0,33112.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
23000.0,0.046875,2.058610940972964E-10,23000.0,71.1,68.80922469877697,-91.39072847682118,49.56369982547993,23000.0,33112.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
24000.0,0.046875,2.058610940972964E-10,24000.0,68.60000000000001,65.8992180712424,-112.1621621621621,48.01324503311259,24000.0,33112.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
25000.0,0.046875,2.058610940972964E-10,25000.0,72.6,69.1713969070135,-136.20689655172418,56.01926163723916,25000.0,32960.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
26000.0,0.046875,2.058610940972964E-10,26000.0,82.19999999999999,79.17110353365739,-27.142857142857164,68.10035842293905,26000.0,41592.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
27000.0,0.046875,2.058610940972964E-10,27000.0,75.2,72.36768802228413,-131.77570093457948,57.96610169491525,27000.0,45960.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
28000.0,0.046875,2.058610940972964E-10,28000.0,73.7,69.62802997932857,-189.0109890109891,55.423728813559315,28000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
29000.0,0.046875,2.058610940972964E-10,29000.0,71.3,68.85560067454212,-147.41379310344834,53.63489499192246,29000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
30000.0,0.046875,2.058610940972964E-10,30000.0,80.60000000000001,77.23784806146251,-79.6296296296296,67.88079470198676,30000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
31000.0,0.046875,2.058610940972964E-10,31000.0,79.9,77.14553405542833,-34.899328859060354,67.63285024154591,31000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
32000.0,0.046875,2.058610940972964E-10,32000.0,71.5,65.37825171104323,-97.91666666666666,50.94664371772806,32000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
33000.0,0.046875,2.058610940972964E-10,33000.0,76.2,70.52759323125314,-103.41880341880344,56.33027522935781,33000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
34000.0,0.046875,2.058610940972964E-10,34000.0,62.8,48.17461810126847,-161.97183098591546,39.51219512195122,34000.0,46728.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
35000.0,0.046875,2.058610940972964E-10,35000.0,78.10000000000001,74.1237216941282,-79.50819672131145,62.176165803108816,35000.0,51416.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
36000.0,0.046875,2.058610940972964E-10,36000.0,74.6,69.99012273330908,-64.93506493506491,63.40057636887608,36000.0,56232.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
37000.0,0.046875,2.058610940972964E-10,37000.0,74.4,70.03517355604066,-58.02469135802466,60.55469953775039,37000.0,56552.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
38000.0,0.09375,9.44613323857387E-10,38000.0,58.199999999999996,45.21905171295307,-194.36619718309856,36.762481089258685,38000.0,60920.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
39000.0,0.09375,9.44613323857387E-10,39000.0,72.3,59.28602084790903,-111.45038167938932,47.93233082706766,39000.0,61216.0,29.0,15.0,15.0,9.0,0.0,0.0,1.0
40000.0,0.09375,9.44613323857387E-10,40000.0,79.4,64.88931612568943,-41.09589041095886,53.81165919282511,40000.0,61216.0,29.0,15.0,15.0,9.0,0.0,0.0,1.0
41000.0,0.09375,9.44613323857387E-10,41000.0,83.2,75.94474163507027,9.189189189189195,64.17910447761193,41000.0,61480.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
42000.0,0.09375,9.44613323857387E-10,42000.0,88.3,83.74268420789355,26.41509433962266,76.31578947368422,42000.0,65872.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
43000.0,0.09375,9.44613323857387E-10,43000.0,82.5,76.47169544962588,-36.718750000000036,67.28971962616822,43000.0,69952.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
44000.0,0.140625,1.7928929689029854E-9,44000.0,79.3,76.54550398839739,-13.114754098360603,67.29857819905214,44000.0,69952.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
45000.0,0.140625,1.7928929689029854E-9,45000.0,83.2,78.86218142287716,-28.24427480916033,70.83333333333333,45000.0,74296.0,37.0,19.0,19.0,9.0,0.0,0.0,1.0
45312.0,0.140625,1.7928929689029854E-9,45312.0,84.8,79.93735703717,-7.042253521126766,71.48217636022515,45312.0,74296.0,37.0,19.0,19.0,9.0,0.0,0.0,1.0
