learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.46875,9.365709653745095E-8,1000.0,69.19999999999999,68.3444453237654,25.242718446601938,62.02219482120837,1000.0,792048.0,5.0,598.0999999999999,465.3398877284335,222965.6,194176.96879748066,6.2,4.969909455915671,47.2,7.918333157931662,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.53125,1.0793052044593625E-7,2000.0,75.5,72.49576771609347,52.79383429672448,63.487332339791344,2000.0,882776.0,5.0,1088.6,898.2964370901674,238208.8,197252.46805992906,4.2,1.0954451150103324,37.6,4.03732584763727,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.921875,1.9240115458766617E-7,3000.0,78.10000000000001,76.61655419834287,43.701799485861194,70.4054054054054,3000.0,835888.0,5.0,1517.8,1520.3831242303515,233390.4,192993.88749053972,3.8,1.0954451150103324,29.4,5.683308895353129,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.109375,2.3119966499507425E-7,4000.0,84.8,84.67865494718167,45.51971326164874,83.29670329670328,4000.0,799864.0,5.0,2089.3,1913.4703232027869,228666.40000000002,190820.21517136085,3.8,2.3874672772626644,28.6,3.9115214431215892,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.390625,2.9675662517547606E-7,5000.0,78.10000000000001,77.97108679995333,35.96491228070175,76.273022751896,5000.0,901008.0,5.0,2666.8,2402.0455079415588,240422.40000000002,198736.44461569923,3.0,1.4142135623730951,30.6,9.44986772394196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.5625,3.369526045086483E-7,6000.0,73.2,73.17255552430136,41.86550976138828,72.34262125902993,6000.0,904008.0,5.0,3557.0000000000005,2630.146172532791,240981.59999999998,198797.57891841195,0.8,1.0954451150103324,21.8,2.863564212655271,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.8125,3.903965504529575E-7,7000.0,74.2,73.29593384015857,47.02258726899384,68.34355828220858,7000.0,826344.0,5.0,3815.0,3500.540974065453,231872.8,192418.10119332443,3.0,1.8708286933869707,29.2,4.764451699828639,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.984375,4.294755894483791E-7,8000.0,78.4,77.69079022112972,52.735229759299784,73.43173431734317,8000.0,878888.0,5.0,4198.299999999999,4028.674666272603,236737.6,197957.59900836227,3.2,1.7888543819998317,26.8,9.011104260855047,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.4375,5.288944683141178E-7,9000.0,73.7,72.28466077162456,49.031007751937985,66.15186615186616,9000.0,848112.0,5.0,4921.3,4336.773507523255,233746.4,194583.76543632252,1.6,0.5477225575051661,36.2,6.97853852894716,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.671875,5.778155819926825E-7,10000.0,79.60000000000001,79.59975519706236,49.7536945812808,79.35222672064778,10000.0,806840.0,5.0,5765.5,4538.558955096748,228883.19999999998,191491.0479629676,0.2,0.4472135954999579,12.4,3.1304951684997055,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,2.796875,6.038116407580673E-7,11000.0,71.89999999999999,71.89167993726143,40.33970276008492,70.82035306334372,11000.0,803896.0,5.0,5672.7,5718.648326114991,227633.60000000003,192220.8348073758,4.0,2.9154759474226504,31.2,6.833739825307955,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,2.859375,6.181197305623855E-7,12000.0,72.39999999999999,71.86902790164352,41.64904862579281,67.49116607773851,12000.0,884920.0,5.0,6194.1,6216.742116610953,237464.0,198450.4072166254,4.0,3.391164991562634,34.4,11.260550608207398,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,3.1875,6.921975161983734E-7,13000.0,72.1,71.5387440323173,44.86166007905138,67.36842105263158,13000.0,872672.0,5.0,6876.1,6553.808145735661,237452.8,196522.20170013022,4.4,4.098780306383839,38.6,13.352902306240393,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,3.53125,7.691205569749904E-7,14000.0,68.4,67.66006222367776,50.47021943573669,63.12718786464411,14000.0,865000.0,5.0,7182.599999999999,7303.807198988757,235385.6,196428.50518824626,3.4,1.51657508881031,34.6,11.081516141756055,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
