learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.453125,1.9012943893257115E-7,1000.0,61.7,61.03724351214153,7.038834951456316,52.7743526510481,1000.0,1638144.0,30.0,3.0,5411.133333333334,1756.5203009974273,38540.799999999996,327.82568959528135,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.921875,4.479496015442742E-7,2000.0,58.099999999999994,55.24336287912289,19.267822736030823,37.555886736214596,2000.0,2127120.0,30.0,8.0,9992.333333333334,3486.1171101595432,54785.600000000006,14725.468009891734,1.133333333333333,0.7302967433402214,1.0666666666666667,0.3651483716701107,1.0666666666666667,0.3651483716701107,0.06666666666666668,0.3651483716701107,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.671875,1.0905699390504096E-6,3000.0,68.30000000000001,66.67087223483892,18.50899742930593,57.16216216216217,3000.0,3312040.0,30.0,14.0,14682.9,5489.613989004679,94090.13333333332,25306.911379459492,3.2,1.4239333576037017,2.0999999999999996,0.7119666788018509,2.0999999999999996,0.7119666788018509,1.0999999999999999,0.7119666788018509,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,2.390625,1.685178463554217E-6,4000.0,67.9,67.72863907348018,-15.053763440860187,64.72527472527473,4000.0,3197832.0,30.0,23.0,17642.499999999996,8220.132672601605,90169.33333333334,31523.78931070545,2.9333333333333336,1.6174337556830536,1.9666666666666668,0.8087168778415268,1.9666666666666668,0.8087168778415268,0.9666666666666663,0.8087168778415268,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,3.09375,2.2118122756688133E-6,5000.0,67.7,67.57516438287406,5.555555555555561,65.00541711809318,5000.0,2895200.0,30.0,33.0,17727.966666666664,11195.456613821252,80074.4,32823.82436017452,2.8666666666666667,2.0296650536197,1.9333333333333331,1.01483252680985,1.9333333333333331,1.01483252680985,0.9333333333333336,1.0148325268098497,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,3.828125,2.670353019817008E-6,6000.0,66.2,66.16643710560876,26.681127982646423,65.1186790505676,6000.0,2413584.0,30.0,47.0,12973.066666666666,11776.18099482971,64109.59999999999,25627.308895274065,1.8,1.627352408689945,1.3999999999999997,0.8136762043449725,1.3999999999999997,0.8136762043449725,0.4000000000000001,0.8136762043449725,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,4.703125,3.1760011592672933E-6,7000.0,62.5,61.378230711001024,22.99794661190965,53.987730061349694,7000.0,2233792.0,30.0,62.0,10107.766666666668,11590.139425787567,58305.066666666666,23497.47095846015,1.4,1.2205143065174586,1.2000000000000004,0.6102571532587293,1.2000000000000004,0.6102571532587293,0.2,0.6102571532587293,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,5.515625,4.008802869874571E-6,8000.0,70.1,69.37263060421961,34.57330415754922,63.222632226322276,8000.0,3962056.0,30.0,76.0,8466.766666666665,8603.985170009715,115698.13333333335,36877.89716098373,4.3999999999999995,1.9046223265772537,2.6999999999999997,0.9523111632886269,2.6999999999999997,0.9523111632886269,1.5,0.7310832774866962,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,6.203125,4.831494168481893E-6,9000.0,71.7,70.3095984976447,45.15503875968992,63.57786357786358,9000.0,4625584.0,30.0,83.0,10080.666666666668,4651.666014735331,137747.19999999995,46149.99318294865,5.533333333333333,2.2242136670701425,3.2666666666666666,1.1121068335350712,3.2666666666666666,1.1121068335350712,1.9,0.8030115728972382,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,6.828125,5.7187807073609705E-6,10000.0,80.9,80.9,52.95566502463056,80.668016194332,10000.0,5487648.0,30.0,85.0,15762.433333333334,5043.3479690362055,166369.33333333337,53128.29308273567,7.000000000000001,2.5188941196896097,4.000000000000001,1.2594470598448049,4.000000000000001,1.2594470598448049,2.3333333333333335,0.9589266029707684,0.0,0.0,0.0,0.0,1.0,0.0
