learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0,0.0,1000.0,61.1,60.365897146955916,5.582524271844664,52.034525277435264,1000.0,38584.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.0,0.0,2000.0,57.9,55.140083347807135,18.882466281310208,37.25782414307003,2000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.015625,2.1022666866580646E-10,3000.0,47.4,47.014263840760734,-35.21850899742931,28.918918918918912,3000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.046875,6.306800059974194E-10,4000.0,64.3,64.17425162319742,-27.95698924731181,60.769230769230774,4000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.046875,6.306800059974194E-10,5000.0,57.4,57.31783683590912,-24.561403508771953,53.84615384615383,5000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.09375,1.2613600119948388E-9,6000.0,59.0,58.973291612839965,11.062906724511917,57.68833849329204,6000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.09375,1.2613600119948388E-9,7000.0,50.9,49.3153442375882,-0.8213552361396311,39.75460122699387,7000.0,52008.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.109375,1.6157153166002698E-9,8000.0,67.2,66.26638857006513,28.227571115973742,59.65559655596557,8000.0,87664.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.109375,1.6157153166002698E-9,9000.0,65.7,63.938883240832546,33.527131782945744,55.855855855855864,9000.0,91984.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.171875,3.1029857281181547E-9,10000.0,75.5,75.49941198588766,39.65517241379311,75.20242914979757,10000.0,91984.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.1875,3.474803330997626E-9,11000.0,60.5,60.434122814486116,16.13588110403396,58.982346832814116,11000.0,91984.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
