learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,1.4375,4.904770240601567E-7,1000.0,70.5,23.70558113070912,9.785932721712514,9.509202453987706,1000.0,1341792.0,5986.399999999999,75.03394103798816,13849.200000000004,3803.3453776298643,8.45,2.5615500115239724,4.725,1.2807750057619862,4.725,1.2807750057619862,2.675,0.9167249398727054,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,2.5625,9.995961510058907E-7,2000.0,79.10000000000001,45.7083629902483,33.86075949367089,23.443223443223463,2000.0,1749320.0,11981.8,103.53079561669385,22104.8,9141.036431165638,13.8,6.256073971626418,7.4,3.128036985813209,7.4,3.128036985813209,4.05,1.357788548924222,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,3.59375,1.6183156468388108E-6,3000.0,81.10000000000001,49.28570661915445,35.714285714285744,29.47761194029853,3000.0,2319168.0,17993.225000000002,117.89706233699054,35152.8,9244.033538533842,22.749999999999996,6.196566460342042,11.874999999999998,3.098283230171021,11.874999999999998,3.098283230171021,5.250000000000002,1.1266014242982163,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,4.4375,2.2448576702218916E-6,4000.0,78.5,50.29338462747782,34.451219512195124,31.30990415335463,4000.0,2870376.0,24003.35,146.2296314985618,47607.600000000006,10271.203252109943,32.20000000000002,7.257886956747333,16.6,3.6289434783736674,16.6,3.6289434783736674,6.125000000000001,1.0904597948125203,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,5.328125,2.9987217729083365E-6,5000.0,78.0,50.84633671153056,36.41618497109827,28.104575163398714,5000.0,3271904.0,29315.600000000006,4399.317935479986,56100.200000000004,13341.12764849109,37.94999999999999,9.192946013670287,19.474999999999994,4.596473006835144,19.474999999999994,4.596473006835144,6.5249999999999995,1.5356865999719258,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,5.59375,3.225055374463813E-6,6000.0,79.10000000000001,57.930079389362156,34.06940063091483,31.25000000000002,6000.0,3293688.0,31162.9,11655.813431887726,56067.799999999996,22970.784851130426,37.800000000000004,15.93448123748283,19.400000000000002,7.967240618741415,19.400000000000002,7.967240618741415,6.1000000000000005,2.296038952586578,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,5.703125,3.328446279435108E-6,7000.0,82.39999999999999,61.39775229639507,38.6759581881533,38.46153846153845,7000.0,3653984.0,37099.375,11821.880768602401,63913.799999999996,22673.550459081456,43.149999999999984,15.652557749536149,22.074999999999992,7.826278874768074,22.074999999999992,7.826278874768074,6.7250000000000005,1.8672274798584296,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,5.8125,3.4377267002128064E-6,8000.0,77.0,51.09296589265969,30.72289156626506,28.124999999999993,8000.0,3862128.0,39691.975000000006,15889.484914417862,68282.40000000001,28554.472162014867,46.74999999999999,20.30125675028582,23.874999999999996,10.15062837514291,23.874999999999996,10.15062837514291,6.8500000000000005,2.455240340212161,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,6.109375,3.7715373198605247E-6,9000.0,77.0,45.1214129088753,32.15339233038348,27.89968652037617,9000.0,4346392.0,45525.7,16330.12558904083,78939.59999999998,29573.565795946546,53.0,20.641009714916613,27.0,10.320504857458307,27.0,10.320504857458307,7.525000000000001,1.9740301091409094,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,6.390625,4.118176746285624E-6,10000.0,80.30000000000001,53.22265068480142,34.55149501661132,31.59722222222225,10000.0,4764176.0,51518.600000000006,16336.315725307315,88174.0,29874.336675395352,59.5,20.75374541421256,30.25,10.37687270710628,30.25,10.37687270710628,8.05,1.4667249405672667,0.0,0.0,0.0,0.0,1.0,0.0
