learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.25,4.4835938347710504E-8,1000.0,73.7,53.85867772654862,19.57186544342506,19.325153374233114,1000.0,712968.0,15.0,651.1666666666666,424.4531640896875,173051.46666666667,171243.72781783022,4.666666666666667,3.373566715058764,42.8,10.18542375862964,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.625,1.1390126827690336E-7,2000.0,77.3,52.5118511173313,28.164556962025312,16.849816849816865,2000.0,711920.0,15.0,1306.2666666666667,811.9636875409253,173016.53333333335,171208.1429959438,4.333333333333333,4.303929544475551,33.0,13.010984370358543,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.90625,1.6545288316491577E-7,3000.0,73.9,46.06769434227383,11.224489795918375,2.611940298507465,3000.0,708520.0,15.0,1944.2,1261.0876914462538,172888.0,171110.56911349695,4.133333333333334,4.273952113286562,27.133333333333333,12.855608374039194,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.203125,2.199385198764503E-7,4000.0,71.6,45.07184177595886,13.414634146341442,9.265175718849815,4000.0,709432.0,15.0,2440.8999999999996,1898.0881733452488,172933.6,171125.66485633925,4.133333333333333,4.015446366695678,28.466666666666665,14.970765161601111,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.46875,2.693441153193513E-7,5000.0,72.89999999999999,40.73808420002974,21.67630057803467,11.437908496732033,5000.0,718968.0,15.0,3119.966666666667,2269.1665260594045,173251.4666666667,171445.13563914967,3.4,3.4599752269963684,30.26666666666667,15.04501182958594,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.71875,3.1550563613159784E-7,6000.0,73.5,46.205563765691736,16.40378548895897,12.828947368421062,6000.0,713744.0,15.0,3548.7000000000007,2767.223819194472,173077.33333333334,171270.0749957723,3.8000000000000003,4.279519332154689,25.933333333333334,16.179646237818442,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.921875,3.53228792341219E-7,7000.0,73.5,48.563065563651755,7.6655052264808425,7.342657342657348,7000.0,717872.0,15.0,4265.233333333334,3038.599072432641,173214.93333333335,171407.99511690054,3.066666666666667,4.542917040635372,24.066666666666666,17.878425412717284,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,2.15625,3.9675017534237765E-7,8000.0,67.7,43.01742996259967,2.7108433734939785,-0.937500000000001,8000.0,717784.0,15.0,5115.966666666665,3426.0096270103822,173212.0,171405.03054622325,2.733333333333333,4.199773236508756,21.066666666666666,16.232536403631997,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.34375,4.315804754797783E-7,9000.0,70.89999999999999,49.871146452048556,14.159292035398211,8.777429467084614,9000.0,718056.0,15.0,5322.8,3956.9878687081473,173221.06666666665,171414.23879675593,2.2,3.004758131459407,20.666666666666668,16.14959825535991,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.53125,4.6636653779488467E-7,10000.0,74.7,47.70566349731294,15.94684385382061,12.152777777777787,10000.0,717144.0,15.0,5997.366666666668,4274.431766900141,173190.6666666667,171383.3308060061,1.8666666666666667,2.948768911806772,19.4,13.319159132617942,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,2.734375,5.040274764825072E-7,11000.0,75.0,45.62557772823664,12.587412587412597,5.660377358490571,11000.0,716688.0,15.0,6618.299999999998,4621.909003640275,173175.4666666667,171367.87262811273,2.1333333333333337,3.8334368516043273,19.46666666666667,13.17392807602884,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,2.875,5.299915857095685E-7,12000.0,73.8,45.32063603370086,13.81578947368422,-1.9455252918287955,12000.0,713696.0,15.0,7323.000000000002,4997.459216510892,173075.73333333328,171268.43263596942,2.6,4.239272174728649,20.6,13.41001757748928,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
