learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.015625,2.019029731551806E-9,1000.0,70.89999999999999,51.95720724439088,11.009174311926582,10.736196319018381,1000.0,515696.0,20.0,2.0,5709.249999999999,1295.478650619348,4688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.03125,4.0927099891834795E-9,2000.0,69.69999999999999,42.5537965683951,4.113924050632881,-10.989010989010998,2000.0,513008.0,20.0,6.0,10362.35,3426.7428339459616,4688.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.125,2.074223529133532E-8,3000.0,76.6,35.04186191121278,20.408163265306136,12.686567164179117,3000.0,687536.0,20.0,10.0,14979.3,5723.936270747513,13126.4,5398.971972319799,4.6000000000000005,2.3033156878497434,2.8000000000000003,1.1516578439248717,2.8000000000000003,1.1516578439248717,1.4999999999999998,0.8885233166386386,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.1875,3.203736721641488E-8,4000.0,76.4,44.10668990817866,28.048780487804876,24.600638977635775,4000.0,698576.0,20.0,17.0,19759.25,8356.783502829177,13624.799999999997,4759.000266530997,5.0,1.9466570535691505,3.0,0.9733285267845753,3.0,0.9733285267845753,1.6999999999999995,0.7326950970650465,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.28125,4.942069709714916E-8,5000.0,74.4,35.8389557790053,26.011560693641613,16.339869281045765,5000.0,716744.0,20.0,17.0,25764.350000000006,8352.787951053419,14328.0,4681.153973788491,5.299999999999999,2.0799797569865155,3.1499999999999995,1.0399898784932577,3.1499999999999995,1.0399898784932577,1.7499999999999998,0.7863975156570492,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.3125,5.5291521776881486E-8,6000.0,77.0,49.22109576459784,27.444794952681384,24.34210526315791,6000.0,726192.0,20.0,20.0,31226.9,9916.729734194265,14789.199999999997,4090.5220565029153,5.6,1.9574419397183713,3.3,0.9787209698591857,3.3,0.9787209698591857,1.85,0.6708203932499369,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.3125,5.5291521776881486E-8,7000.0,78.8,50.72380226298614,26.132404181184686,25.87412587412589,7000.0,803984.0,20.0,22.0,36381.25,12055.763137559868,18591.6,5404.2269460312755,7.3999999999999995,2.643761275949575,4.2,1.3218806379747876,4.2,1.3218806379747876,2.2999999999999994,0.9787209698591857,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.34375,6.193935405462981E-8,8000.0,73.5,40.737096341354324,20.18072289156625,17.187499999999982,8000.0,822304.0,20.0,25.0,41609.200000000004,14286.940638219226,19469.6,7107.654394346539,7.699999999999999,3.0625067132042423,4.35,1.5312533566021211,4.35,1.5312533566021211,2.4,1.1424811411549587,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.375,6.927326062901153E-8,9000.0,74.8,36.35608266637707,25.663716814159283,21.003134796238232,9000.0,907168.0,20.0,26.0,47204.450000000004,15518.293101589561,23658.4,8223.039509752301,9.299999999999999,3.6863903325896628,5.1499999999999995,1.8431951662948314,5.1499999999999995,1.8431951662948314,3.0,1.2977713690461004,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.453125,8.943348398639097E-8,10000.0,77.8,47.55244755244756,26.245847176079756,22.916666666666686,10000.0,997488.0,20.0,28.0,52581.75,17330.949905253925,28142.399999999998,8994.753502371315,11.4,3.9788916732387203,6.2,1.9894458366193601,6.2,1.9894458366193601,3.55,1.2343760409722457,0.0,0.0,0.0,0.0,1.0,0.0
