learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.25,1.184140435523457E-7,1000.0,73.3,42.64453791260488,18.348623853210995,18.09815950920244,1000.0,1851528.0,5988.816666666668,77.67522381995602,14066.0,4439.9565427709895,8.566666666666668,2.9015873310221116,4.783333333333334,1.4507936655110558,4.783333333333334,1.4507936655110558,3.0500000000000007,0.9099264265284941,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.6875,3.893471633394559E-7,2000.0,79.4,47.76995453957695,34.810126582278485,24.54212454212456,2000.0,2393792.0,11995.466666666665,110.20758020419136,22698.0,6918.519622196057,14.599999999999998,5.434353999311281,7.799999999999999,2.7171769996556403,7.799999999999999,2.7171769996556403,4.083333333333331,1.183096578527845,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.0,6.275413195706076E-7,3000.0,80.30000000000001,45.86305827003618,32.99319727891159,26.492537313432855,3000.0,2946344.0,18002.916666666668,112.15595855570072,31505.73333333333,8977.195617119114,20.633333333333333,6.033709449212328,10.816666666666666,3.016854724606164,10.816666666666666,3.016854724606164,5.083333333333335,0.8086747196864058,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.359375,9.645447587697871E-7,4000.0,77.3,45.07648160425064,30.79268292682927,27.476038338658142,4000.0,3624840.0,23992.166666666668,121.12917417434221,42717.600000000006,11159.079949924793,28.666666666666664,7.941879269271449,14.833333333333332,3.9709396346357244,14.833333333333332,3.9709396346357244,6.183333333333334,1.1122075569413803,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.734375,1.368484970751322E-6,5000.0,78.60000000000001,49.52592103401105,38.150289017341045,30.065359477124204,5000.0,4163784.0,29983.783333333333,148.736724707908,51629.066666666666,12392.37486421151,34.66666666666665,9.03602332412463,17.833333333333325,4.518011662062315,17.833333333333325,4.518011662062315,6.6000000000000005,1.092346254162594,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,2.15625,1.9046866671285696E-6,6000.0,78.9,55.00605605690989,33.4384858044164,30.592105263157915,6000.0,4913000.0,35973.38333333333,169.10001971220112,63098.533333333355,11815.900484224949,42.56666666666668,7.9582952494134185,21.78333333333334,3.9791476247067092,21.78333333333334,3.9791476247067092,7.083333333333333,1.0133292447137259,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,2.546875,2.457230164307273E-6,7000.0,82.1,59.27282655684738,37.630662020905916,37.4125874125874,7000.0,5467752.0,41971.03333333332,188.33525522743082,71952.53333333333,12930.27902941507,48.70000000000001,8.673552240839753,24.850000000000005,4.336776120419876,24.850000000000005,4.336776120419876,7.45,0.9464474163229598,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,3.015625,3.213563047918595E-6,8000.0,75.8,47.244506452738044,27.10843373493975,24.374999999999993,8000.0,6236976.0,47974.31666666669,200.02215908317606,84510.66666666666,13751.699519827209,58.033333333333324,9.640955481635109,29.516666666666662,4.820477740817554,29.516666666666662,4.820477740817554,8.06666666666667,1.0393392077183294,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,3.5,4.070720978132967E-6,9000.0,76.3,41.255787668176986,30.088495575221234,25.705329153605007,9000.0,6840400.0,53962.549999999996,220.52790476413796,94040.00000000001,15232.968563423126,63.5,10.314544609844615,32.24999999999999,5.157272304922309,32.24999999999999,5.157272304922309,8.316666666666666,1.1122075569413805,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,4.015625,5.062612019375795E-6,10000.0,79.0,47.93526121623231,30.232558139534905,27.083333333333353,10000.0,7435880.0,59969.33333333334,228.26483776130107,103582.26666666669,15766.881614951222,70.43333333333331,11.065853213586053,35.716666666666654,5.532926606793026,35.716666666666654,5.532926606793026,8.633333333333331,1.1344627141151509,0.0,0.0,0.0,0.0,1.0,0.0
