learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.03125,3.8287705845303007E-11,1000.0,70.6,52.04885145582296,10.091743119266033,9.815950920245376,1000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.03125,3.8287705845303007E-11,2000.0,68.7,39.65985896214958,0.949367088607596,-14.652014652014621,2000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.03125,3.8287705845303007E-11,3000.0,73.2,0.0,8.843537414965994,0.0,3000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.03125,3.8287705845303007E-11,4000.0,68.7,0.0,4.573170731707322,0.0,4000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.03125,3.8287705845303007E-11,5000.0,69.39999999999999,0.0,11.560693641618476,0.0,5000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.046875,5.743155876795451E-11,6000.0,69.6,0.0,4.100946372239717,0.0,6000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.046875,5.743155876795451E-11,7000.0,71.39999999999999,0.0,0.34843205574912917,0.0,7000.0,4736.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.0625,9.5848614970843E-11,8000.0,70.3,34.1813669000975,10.542168674698772,7.187499999999973,8000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
9000.0,0.0625,9.5848614970843E-11,9000.0,75.3,40.969251432750355,27.1386430678466,22.57053291536049,9000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
10000.0,0.0625,9.5848614970843E-11,10000.0,74.3,38.56025398282558,14.617940199335559,10.763888888888898,10000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
11000.0,0.078125,1.3426567117373148E-10,11000.0,78.8,44.05225308438347,25.87412587412589,20.000000000000018,11000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
12000.0,0.078125,1.3426567117373148E-10,12000.0,75.7,37.333663427616514,20.065789473684227,5.447470817120627,12000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
13000.0,0.078125,1.3426567117373148E-10,13000.0,75.1,45.38012362956756,26.979472140762457,25.449101796407174,13000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
14000.0,0.078125,1.3426567117373148E-10,14000.0,71.1,42.34551990775282,11.620795107033617,26.649746192893396,14000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
15000.0,0.078125,1.3426567117373148E-10,15000.0,75.5,41.044829992540386,17.785234899328874,20.967741935483886,15000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
16000.0,0.078125,1.3426567117373148E-10,16000.0,69.5,42.435234920862584,13.597733711048141,23.366834170854265,16000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
17000.0,0.078125,1.3426567117373148E-10,17000.0,74.3,50.41673097700262,21.88449848024315,22.356495468277934,17000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
18000.0,0.078125,1.3426567117373148E-10,18000.0,71.5,55.56678078988232,15.178571428571411,23.387096774193537,18000.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
18159.0,0.078125,1.3426567117373148E-10,18159.0,70.39999999999999,53.46526559385237,11.641791044776099,19.125683060109278,18159.0,9504.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
