learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.0,0.0,1000.0,70.6,52.04885145582296,10.091743119266033,9.815950920245376,1000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.0,0.0,2000.0,68.7,39.65985896214958,0.949367088607596,-14.652014652014621,2000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.0,0.0,3000.0,73.2,0.0,8.843537414965994,0.0,3000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.0,0.0,4000.0,68.7,0.0,4.573170731707322,0.0,4000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.0,0.0,5000.0,69.39999999999999,0.0,11.560693641618476,0.0,5000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.0,0.0,6000.0,69.6,0.0,4.100946372239717,0.0,6000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.0,0.0,7000.0,71.39999999999999,0.0,0.34843205574912917,0.0,7000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.0,0.0,8000.0,68.0,0.0,3.6144578313253044,0.0,8000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.0,0.0,9000.0,68.10000000000001,0.0,5.899705014749268,0.0,9000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.0,0.0,10000.0,71.2,0.0,4.318936877076415,0.0,10000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.0,0.0,11000.0,73.5,0.0,7.342657342657348,0.0,11000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.0,0.0,12000.0,74.3,0.0,15.460526315789485,0.0,12000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.0,0.0,13000.0,66.60000000000001,0.0,2.052785923753668,0.0,13000.0,4688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.0,0.0,14000.0,68.89999999999999,42.98808432630613,4.89296636085624,21.065989847715727,14000.0,9376.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
15000.0,0.0,0.0,15000.0,76.4,47.321428571428584,20.805369127516794,23.8709677419355,15000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
16000.0,0.0,0.0,16000.0,73.8,56.08889484798713,25.779036827195462,34.17085427135678,16000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
17000.0,0.0,0.0,17000.0,71.39999999999999,51.845123140102054,13.069908814589645,13.595166163141975,17000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
18000.0,0.0,0.0,18000.0,70.3,52.39072308392697,11.607142857142835,20.161290322580633,18000.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
18159.0,0.0,0.0,18159.0,69.5,50.214323257582926,8.955223880596991,16.66666666666665,18159.0,14064.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
