learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.234375,5.7632860261946917E-8,1000.0,73.6,52.483459204169925,8.965517241379317,43.82978723404255,1000.0,967776.0,45.0,4.0,5563.377777777777,1385.7189845132395,8723.2,2031.4103654178964,3.4444444444444455,0.9428090415820635,2.2222222222222223,0.4714045207910316,2.2222222222222223,0.4714045207910316,1.2222222222222228,0.47140452079103173,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.46875,1.3141883149122198E-7,2000.0,76.3,58.18011137853881,-25.396825396825427,64.57399103139014,2000.0,1216928.0,45.0,13.0,10204.31111111111,3579.7226201723693,14349.33333333333,5883.17143909798,9.888888888888891,4.211576158325258,5.4444444444444455,2.105788079162629,5.4444444444444455,2.105788079162629,3.888888888888889,1.6127647382709296,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.71875,2.2949020300681392E-7,3000.0,79.10000000000001,51.91002342373024,9.130434782608704,50.59101654846337,3000.0,1516368.0,45.0,26.0,13075.044444444446,7040.752726273325,20853.333333333332,12276.321628536485,10.422222222222228,7.6470103750921945,5.711111111111114,3.8235051875460973,5.711111111111114,3.8235051875460973,4.222222222222223,3.175824079803317,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.890625,3.11238141471727E-7,4000.0,87.6,67.23892860728459,25.748502994011996,56.94444444444445,4000.0,1838512.0,45.0,28.0,18567.355555555554,7482.689602602054,27887.466666666667,20551.074780122377,13.088888888888887,8.943820167686692,7.044444444444443,4.471910083843346,7.044444444444443,4.471910083843346,4.844444444444444,3.10392387702138,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.046875,3.953145803987152E-7,5000.0,89.2,77.57740466763693,33.33333333333336,74.16267942583733,5000.0,2079968.0,45.0,34.0,23094.444444444445,9110.086886013056,33201.77777777778,23087.305910872805,14.288888888888891,10.480766415032091,7.644444444444446,5.240383207516046,7.644444444444446,5.240383207516046,5.022222222222223,3.3062536398941225,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.265625,5.322149243309266E-7,6000.0,80.2,37.85817855416698,21.42857142857145,17.500000000000014,6000.0,2419128.0,45.0,44.0,24072.044444444444,13904.486819917252,40825.24444444445,29382.407498640434,17.177777777777777,13.347265448379117,9.088888888888889,6.6736327241895586,9.088888888888889,6.6736327241895586,5.0888888888888895,3.5600192940119544,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.5625,7.481047133397725E-7,7000.0,77.60000000000001,58.343096670051295,-5.164319248826296,51.61987041036718,7000.0,2811000.0,45.0,56.0,25648.244444444445,17703.917544322263,49559.28888888889,36128.18845357976,25.711111111111112,17.157852988993675,13.355555555555556,8.578926494496837,13.355555555555556,8.578926494496837,6.111111111111111,2.893741068882524,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.875,1.0362669127061963E-6,8000.0,83.7,67.33565123292887,8.426966292134837,63.122171945701346,8000.0,3564424.0,45.0,66.0,26713.44444444444,20136.55591157033,66180.08888888889,48346.504429352215,29.04444444444444,20.91753891698147,15.02222222222222,10.458769458490735,15.02222222222222,10.458769458490735,6.666666666666666,3.404542420195273,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.140625,1.2881809703281357E-6,9000.0,87.2,71.83972402929548,32.6315789473684,67.17948717948718,9000.0,3665944.0,45.0,75.0,27415.42222222222,21581.609130428293,68371.91111111111,51828.98992570848,30.466666666666672,22.18271235157521,15.733333333333336,11.091356175787604,15.733333333333336,11.091356175787604,6.977777777777778,3.381022497901061,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.453125,1.6103345034126607E-6,10000.0,83.6,52.358819428305836,35.177865612648205,39.92673992673992,10000.0,3984880.0,45.0,92.0,28674.6,24692.36872119879,75483.37777777777,61988.95022915883,30.511111111111116,26.94828567850098,15.755555555555558,13.47414283925049,15.755555555555558,13.47414283925049,6.28888888888889,4.314996166764453,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,2.796875,1.9537331859788135E-6,11000.0,83.89999999999999,69.81559390162508,30.303030303030283,69.21606118546845,11000.0,3861520.0,45.0,108.0,24849.155555555553,24199.48227841733,72732.08888888887,65510.153164439194,31.93333333333333,28.108879218302015,16.466666666666665,14.054439609151007,16.466666666666665,14.054439609151007,7.4222222222222225,4.131304487407913,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,3.0625,2.219086713416295E-6,12000.0,92.0,83.98321440870032,57.671957671957685,77.77777777777779,12000.0,3861520.0,45.0,119.0,25525.733333333334,24532.000050397997,72645.86666666667,62195.51655048633,30.77777777777778,28.572784960588642,15.888888888888891,14.286392480294321,15.888888888888891,14.286392480294321,7.444444444444446,4.413592412060494,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,3.3125,2.4686884070332682E-6,13000.0,84.6,69.5943011032925,44.4043321299639,63.1578947368421,13000.0,3859312.0,45.0,137.0,24567.311111111103,26738.3131529393,72772.8,71271.887476314,30.24444444444444,32.42414613409662,15.62222222222222,16.21207306704831,15.62222222222222,16.21207306704831,6.711111111111112,5.172577264338886,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,3.640625,2.8342075852884187E-6,14000.0,89.4,79.76983415081015,54.310344827586206,79.296875,14000.0,4305992.0,45.0,146.0,28421.044444444444,27781.246652893187,82511.64444444444,75725.49115094947,36.244444444444454,37.09273118915223,18.622222222222227,18.546365594576116,18.622222222222227,18.546365594576116,8.044444444444444,5.121059707253229,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,3.9375,3.1712573965907924E-6,15000.0,87.6,76.8892997457823,48.54771784232365,75.249500998004,15000.0,4388568.0,45.0,162.0,30475.13333333334,30525.415709774457,84479.82222222221,84931.5378363091,38.73333333333333,41.71243546866177,19.86666666666666,20.856217734330887,19.86666666666666,20.856217734330887,7.688888888888887,5.834155786176243,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,4.28125,3.55475281442826E-6,16000.0,89.2,79.40032043945983,58.139534883720934,77.63975155279503,16000.0,4312408.0,45.0,176.0,30085.222222222215,29871.554329167477,82717.15555555555,86195.2315940008,39.066666666666656,44.13738880936537,20.022222222222226,22.07887605103049,20.022222222222226,22.07887605103049,8.022222222222224,5.956237711573277,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,4.671875,3.980905651890983E-6,17000.0,83.6,69.90196114416592,49.53846153846152,69.34579439252336,17000.0,4217040.0,45.0,195.0,29102.777777777777,33178.51338447882,80702.75555555556,94234.95474927539,39.62222222222222,50.153985108087106,20.311111111111114,25.076992554043553,20.311111111111114,25.076992554043553,7.866666666666667,6.730527468185536,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,5.0,4.324403319818277E-6,18000.0,79.0,63.78261289476952,27.835051546391774,51.94508009153319,18000.0,4046568.0,45.0,210.0,26302.51111111111,35119.24765296234,76887.46666666666,102455.52285073842,37.08888888888889,56.441370313169074,19.044444444444444,28.220685156584537,19.044444444444444,28.220685156584537,6.644444444444444,7.27434956653594,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,5.265625,4.601235397987895E-6,19000.0,81.6,29.78841127201265,-19.480519480519494,20.34632034632032,19000.0,4028560.0,45.0,215.0,29101.31111111111,33593.717604515274,76304.53333333334,98825.87342336473,36.55555555555556,55.116222473950266,18.77777777777778,27.558111236975133,18.77777777777778,27.558111236975133,6.733333333333333,6.847029880307094,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,5.46875,4.786695741737882E-6,20000.0,84.3,42.713901548184154,4.268292682926832,25.59241706161135,20000.0,3529312.0,45.0,228.0,26285.644444444442,30681.14496289771,65314.488888888874,93413.19693136176,29.622222222222213,50.38365936802458,15.31111111111111,25.191829684012287,15.31111111111111,25.191829684012287,5.311111111111113,6.480117220538467,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,5.703125,4.984696861356496E-6,21000.0,82.6,68.47397744258728,-1.754385964912282,62.09150326797385,21000.0,3265568.0,45.0,239.0,25682.31111111111,30780.894082813345,59652.799999999996,96551.33622953693,24.911111111111115,48.63772489362843,12.955555555555561,24.318862446814215,12.955555555555561,24.318862446814215,4.2444444444444445,5.962593835951369,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,5.921875,5.182096372461981E-6,22000.0,90.3,64.00461631518597,32.167832167832195,50.256410256410255,22000.0,3488192.0,45.0,243.0,31020.799999999996,31258.201735050126,64352.53333333332,99443.80666157877,29.622222222222213,49.28916942110328,15.311111111111106,24.64458471055164,15.311111111111106,24.64458471055164,5.266666666666668,5.524326367819141,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,6.171875,5.434140200830168E-6,23000.0,87.1,75.10599250864054,29.508196721311492,69.85981308411215,23000.0,3897072.0,45.0,253.0,35471.42222222222,32561.016975468807,73353.24444444444,103797.37504413359,31.88888888888889,49.979187587626825,16.444444444444446,24.989593793813413,16.444444444444446,24.989593793813413,5.800000000000001,5.2854861305620355,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,6.390625,5.6805731340621905E-6,24000.0,89.8,11.065384380640163,43.956043956043985,6.422018348623859,24000.0,4354648.0,45.0,255.0,41040.00000000001,33000.516119930886,83451.91111111114,103595.17376785426,34.57777777777779,50.11463626204194,17.777777777777782,25.065268336239228,17.777777777777782,25.065268336239228,6.066666666666668,5.206639118384422,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,6.703125,5.977571256355279E-6,25000.0,79.9,51.98073495754715,-2.0304568527918803,65.7580919931857,25000.0,3673720.0,45.0,274.0,33537.15555555555,36805.53408608026,68615.64444444445,101188.06006395751,30.600000000000005,50.433754930241285,15.799999999999997,25.216877465120643,15.799999999999997,25.216877465120643,5.311111111111113,5.2172015409788335,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,7.0,6.236647604964673E-6,26000.0,83.89999999999999,48.26544645955707,13.440860215053771,34.28571428571427,26000.0,3373312.0,45.0,286.0,27756.044444444444,36505.81227567838,61910.4,93265.23994559329,28.644444444444446,48.63834792515973,14.822222222222225,24.319173962579864,14.822222222222225,24.319173962579864,5.355555555555556,4.753733248508986,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,7.296875,6.504839402623474E-6,27000.0,86.5,73.90598422761714,33.16831683168315,71.57894736842105,27000.0,3492000.0,45.0,301.0,25749.666666666664,37963.82475821854,64569.4222222222,98383.85823684534,32.24444444444445,51.65319472455238,16.622222222222224,25.82659736227619,16.622222222222224,25.82659736227619,5.777777777777777,4.733290652816538,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,7.546875,6.761038481878737E-6,28000.0,87.3,72.61727138655789,34.196891191709824,67.84810126582279,28000.0,3961320.0,45.0,309.0,27773.888888888883,38780.210474147665,74795.02222222224,100773.5538798135,35.53333333333332,53.66630905207408,18.26666666666666,26.83315452603704,18.26666666666666,26.83315452603704,6.311111111111112,4.85153313266783,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,7.828125,7.085503117802241E-6,29000.0,91.3,67.45010887377379,56.06060606060607,52.19780219780223,29000.0,4459408.0,45.0,311.0,33426.62222222223,39018.363167691416,85905.42222222225,102954.33960973557,40.82222222222222,54.675609024703355,20.91111111111111,27.337804512351678,20.91111111111111,27.337804512351678,7.0,4.79109021565504,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,8.171875,7.470612052000231E-6,30000.0,87.6,66.52358197672848,38.6138613861386,56.491228070175445,30000.0,4330552.0,45.0,331.0,27429.199999999993,36551.041627117454,83120.0,96108.80774697736,37.66666666666666,49.272895001391795,19.33333333333333,24.636447500695898,19.33333333333333,24.636447500695898,6.666666666666665,4.977220838251731,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,8.5,7.894203558357225E-6,31000.0,91.0,81.74534759900615,49.152542372881385,78.52028639618139,31000.0,4990112.0,45.0,341.0,31596.911111111112,37756.16007585699,97720.71111111112,105741.67878471619,42.11111111111111,50.5704828667251,21.555555555555554,25.28524143336255,21.555555555555554,25.28524143336255,7.1111111111111125,4.932370913494121,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,8.828125,8.33288782612524E-6,32000.0,92.2,82.63216256295843,59.16230366492148,78.15126050420169,32000.0,5167912.0,45.0,352.0,31673.511111111115,38189.63573621313,101526.75555555556,110778.97071137061,45.73333333333332,52.44148253919877,23.355555555555547,26.230755331338155,23.355555555555547,26.230755331338155,7.511111111111113,4.789297833437981,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,9.1875,8.840650682234102E-6,33000.0,93.0,74.40856362579473,63.350785340314154,62.566844919786135,33000.0,5461544.0,45.0,361.0,33991.777777777774,39740.35150819567,108035.9111111111,112080.52756507102,48.68888888888888,54.0588157061876,24.84444444444444,27.0294078530938,24.84444444444444,27.0294078530938,7.844444444444447,4.828681146665373,0.0,0.0,0.0,0.0,1.0,0.0
