learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.0625,1.2766880293687185E-10,1000.0,72.8,51.40314485972124,6.206896551724142,42.127659574468076,1000.0,7896.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
2000.0,0.0625,1.2766880293687185E-10,2000.0,53.800000000000004,21.699560195581622,-144.44444444444449,30.94170403587444,2000.0,8296.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
3000.0,0.0625,1.2766880293687185E-10,3000.0,77.4,50.90830496803609,1.7391304347826104,46.57210401891254,3000.0,11984.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0
4000.0,0.078125,2.0459992811083794E-10,4000.0,87.5,68.68549211375434,25.14970059880241,56.59722222222223,4000.0,19032.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0,4.0
5000.0,0.078125,2.0459992811083794E-10,5000.0,87.5,75.03614765819094,22.83950617283952,70.09569377990431,5000.0,24128.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0,4.0
6000.0,0.09375,3.500867428051101E-10,6000.0,79.0,46.37248142189537,16.666666666666682,12.50000000000001,6000.0,35992.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
7000.0,0.109375,5.020410753786564E-10,7000.0,61.199999999999996,32.6570107002456,-82.15962441314556,16.198704103671698,7000.0,37592.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
8000.0,0.109375,5.020410753786564E-10,8000.0,67.4,40.045425705063955,-83.14606741573026,26.244343891402718,8000.0,40976.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0,7.0
9000.0,0.125,7.11232941183779E-10,9000.0,85.7,69.12527366234707,24.73684210526313,63.33333333333333,9000.0,51752.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
10000.0,0.140625,9.285415419273906E-10,10000.0,72.7,23.160928598770603,-7.905138339920955,0.0,10000.0,53760.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0,9.0
11000.0,0.140625,9.285415419273906E-10,11000.0,56.39999999999999,18.155264718912125,-88.74458874458878,16.63479923518164,11000.0,55360.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0,9.0
12000.0,0.140625,9.285415419273906E-10,12000.0,69.19999999999999,37.11873126832334,-62.96296296296303,14.444444444444427,12000.0,59056.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0,10.0
13000.0,0.140625,9.285415419273906E-10,13000.0,71.7,44.373245693349155,-2.16606498194946,32.29665071770334,13000.0,37984.0,18.0,7.0,6.0,4.0,0.0,0.0,1.0,11.0
14000.0,0.140625,9.285415419273906E-10,14000.0,68.30000000000001,41.143924456277546,-36.63793103448275,38.085937500000014,14000.0,43056.0,20.0,8.0,7.0,4.0,0.0,0.0,1.0,12.0
15000.0,0.140625,9.285415419273906E-10,15000.0,78.8,60.75018976912966,12.033195020746899,57.684630738522955,15000.0,49512.0,24.0,10.0,9.0,6.0,0.0,0.0,1.0,14.0
