learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,4.035711754113436E-8,1000.0,43.0,24.342777655369407,25.97402597402597,6.710310965630112,1000.0,927784.0,5986.399999999999,75.03394103798816,3692.8000000000006,2480.0574352323542,1.5000000000000002,1.7974340685458343,1.2500000000000002,0.8987170342729172,1.2500000000000002,0.8987170342729172,0.17500000000000002,0.6359930655967716,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,8.209744313110908E-8,2000.0,49.9,33.181558110038374,33.02139037433155,16.499999999999996,2000.0,1290768.0,11981.8,103.53079561669385,12328.399999999998,1368.2068519575498,7.800000000000002,1.3435505964154102,4.399999999999999,0.6717752982077054,4.399999999999999,0.6717752982077054,2.375000000000001,0.585618235669551,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,1.4883427259822687E-7,3000.0,55.60000000000001,42.00778454063374,43.36734693877552,27.332242225859254,3000.0,1500912.0,17993.225000000002,117.89706233699054,17271.600000000006,4152.569675853797,11.8,3.67388566744202,6.4,1.83694283372101,6.4,1.83694283372101,3.7000000000000006,0.8828857114526089,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.59375,2.0388500868446298E-7,4000.0,57.199999999999996,43.935247831093136,45.408163265306115,29.720853858784885,4000.0,1702376.0,24003.35,146.2296314985618,22063.800000000003,6178.857180865929,15.249999999999996,5.047212990786002,8.124999999999998,2.523606495393001,8.124999999999998,2.523606495393001,4.225000000000001,0.7675301714607471,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.84375,3.249274515029457E-7,5000.0,60.5,48.93341952165481,49.87309644670051,35.45751633986928,5000.0,1871544.0,30007.699999999993,135.22558550200148,26249.6,7494.75745934176,18.500000000000004,5.8309518948453,9.750000000000002,2.91547594742265,9.750000000000002,2.91547594742265,4.575000000000001,0.9306049865682221,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.078125,4.484508988550968E-7,6000.0,60.3,50.37437967974599,49.93694829760403,37.38170347003154,6000.0,2037232.0,35988.34999999999,169.60323986987635,30223.199999999997,7959.991403165052,21.15,6.116602039761988,11.075,3.058301019880994,11.075,3.058301019880994,4.925,0.9167249398727056,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.359375,6.078741151011653E-7,7000.0,61.199999999999996,50.33383852865276,49.47916666666667,37.01298701298701,7000.0,2191096.0,41985.47499999999,168.97352053214,33788.600000000006,8158.307695305568,23.6,6.262628267789236,12.3,3.131314133894618,12.3,3.131314133894618,5.25,0.9805806756909202,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.609375,7.613172702905205E-7,8000.0,58.3,47.39876153726804,46.87898089171974,32.524271844660184,8000.0,2372520.0,47976.99999999999,165.9848618367784,38228.59999999999,9897.985811161216,27.050000000000004,7.665941994736633,14.025000000000002,3.8329709973683164,14.025000000000002,3.8329709973683164,5.5,0.9336995618478524,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.84375,9.178134172947872E-7,9000.0,62.4,52.5317254717791,51.54639175257733,38.662316476345836,9000.0,2581040.0,53970.125,187.2808377263598,43328.99999999999,11011.281441065747,30.95,8.587259495381842,15.975,4.293629747690921,15.975,4.293629747690921,5.85,0.8335897041541451,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.09375,1.0962289525195958E-6,10000.0,61.0,51.08846967108877,50.81967213114754,38.775510204081634,10000.0,2758640.0,59963.025000000016,208.6156430818683,47700.39999999999,12918.969675516817,34.15000000000001,10.156594422167808,17.57500000000001,5.078297211083904,17.57500000000001,5.078297211083904,6.05,0.8458041235325207,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,2.359375,1.3032551699628435E-6,11000.0,61.8,51.65156727393311,52.72277227722771,37.886178861788615,11000.0,3012720.0,65970.575,226.47124541539495,53948.399999999994,11799.797574969514,39.09999999999999,9.080268831443377,20.049999999999994,4.540134415721688,20.049999999999994,4.540134415721688,6.299999999999999,0.8227533512074423,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,2.578125,1.4858002800287474E-6,12000.0,64.8,54.9220740968407,53.00400534045394,41.333333333333336,12000.0,3225704.0,71972.10000000002,246.69110759024613,59240.4,11966.932483584365,43.69999999999999,9.624221580244349,22.349999999999994,4.8121107901221745,22.349999999999994,4.8121107901221745,6.625,0.8678739126192977,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,2.796875,1.6790107151286473E-6,13000.0,64.60000000000001,54.03427173536206,52.98804780876494,39.27958833619212,13000.0,3414168.0,77958.60000000002,253.27007982257408,63810.0,12758.342179902811,46.099999999999994,10.055742076940355,23.549999999999997,5.0278710384701775,23.549999999999997,5.0278710384701775,6.775000000000002,0.8619447302169195,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,3.0,1.8671451511585882E-6,14000.0,64.0,53.3354764447855,52.56916996047431,40.099833610648915,14000.0,3580200.0,83952.525,272.6091395179508,67802.8,13214.879141642012,49.299999999999976,10.50079362080156,25.149999999999988,5.25039681040078,25.149999999999988,5.25039681040078,7.0249999999999995,0.8911962574151495,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,3.265625,2.1250892960880367E-6,15000.0,67.10000000000001,57.59697275895491,57.98212005108557,44.79865771812081,15000.0,3753696.0,89964.37500000001,278.12906868242476,72015.0,13683.91597123032,52.00000000000001,10.935709560414614,26.500000000000004,5.467854780207307,26.500000000000004,5.467854780207307,7.175,0.957761813974483,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,3.53125,2.3958110250532628E-6,16000.0,65.7,57.631201223383634,55.855855855855864,45.89905362776025,16000.0,3939640.0,95983.15000000001,273.33951368872494,76536.4,14701.020869488224,55.5,12.023481299694469,28.25,6.011740649847234,28.25,6.011740649847234,7.349999999999999,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,3.828125,2.7109532836928137E-6,17000.0,65.7,57.86214903039946,55.96919127086009,45.120000000000005,17000.0,4103320.0,101988.6,287.95394930974163,80563.8,16129.456180445855,58.449999999999996,12.992996140919487,29.724999999999998,6.496498070459744,29.724999999999998,6.496498070459744,7.424999999999999,0.9026314805852884,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,4.078125,2.9853141879559393E-6,18000.0,66.10000000000001,57.747110849644535,57.465495608532,45.93301435406699,18000.0,4242136.0,107986.15,305.49015259633666,83917.60000000002,17514.704662815213,60.89999999999999,13.722151285328257,30.949999999999996,6.861075642664129,30.949999999999996,6.861075642664129,7.625000000000001,0.8969320930188523,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,4.359375,3.3044813446597095E-6,19000.0,67.9,58.863135987451344,57.08556149732621,45.959595959595966,19000.0,4386600.0,113973.59999999999,307.2078391093832,87441.6,18601.160918829904,63.79999999999999,14.744316593008705,32.4,7.372158296504352,32.4,7.372158296504352,7.900000000000002,0.928190961784514,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,4.640625,3.637862812158548E-6,20000.0,65.4,56.78673127841335,55.584082156611046,43.648208469055376,20000.0,4581960.0,119988.575,318.60166332239095,92216.60000000002,18537.43813351365,67.35000000000001,14.73796771294103,34.175000000000004,7.368983856470515,34.175000000000004,7.368983856470515,8.125000000000002,0.9388345202485135,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,4.859375,3.907453598609815E-6,21000.0,64.3,56.40322982458712,55.15075376884423,44.043887147335425,21000.0,4763864.0,125988.42500000002,344.8923196875907,96622.60000000002,19690.02037060581,70.7,15.375971930922375,35.85,7.687985965461188,35.85,7.687985965461188,8.174999999999999,0.9306049865682224,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,5.140625,4.265066333270322E-6,22000.0,67.80000000000001,59.7050711543371,59.03307888040713,47.471451876019586,22000.0,4914992.0,131967.94999999998,353.60632535820747,100320.6,20528.65857308403,73.00000000000001,15.961492122268229,37.00000000000001,7.9807460611341146,37.00000000000001,7.9807460611341146,8.35,0.9212588934267876,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,5.453125,4.6723906093070084E-6,23000.0,64.9,56.739515186771904,56.015037593984964,44.01913875598086,23000.0,5038400.0,137986.6,371.9227794128142,103336.99999999999,21587.538071767245,75.2,16.435109385483887,38.1,8.217554692741944,38.1,8.217554692741944,8.45,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,5.734375,5.047550625426488E-6,24000.0,66.0,58.08647499858235,56.52173913043479,46.54088050314466,24000.0,5156160.0,143981.12500000003,376.1529413103251,106194.00000000001,21416.027374674803,77.25000000000001,16.844309698849916,39.12500000000001,8.422154849424958,39.12500000000001,8.422154849424958,8.55,0.8755950357709128,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,6.0625,5.498421152070579E-6,25000.0,65.10000000000001,55.84782300669999,55.54140127388536,42.598684210526315,25000.0,5311472.0,149956.02499999997,391.06740762647775,109975.40000000001,21446.87164181557,79.4,16.412628033753734,40.2,8.206314016876867,40.2,8.206314016876867,8.55,0.8755950357709128,0.0,0.0,0.0,0.0,1.0,0.0
