learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.0625,8.959452518158489E-9,1000.0,48.6,33.32555032364348,33.246753246753244,15.875613747954171,1000.0,573840.0,10.0,1009.4500000000002,63.74081977244378,172224.0,172276.52685267673,0.10000000000000002,0.31622776601683794,33.2,10.840254199561517,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,3.928671099452509E-8,2000.0,43.9,29.862462915246095,25.0,6.499999999999997,2000.0,577128.0,10.0,1654.8000000000002,693.0495235589324,172382.00000000003,172451.54914016314,1.3,1.8287822299126937,20.2,10.228500487472356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.34375,5.093551913483275E-8,3000.0,45.800000000000004,31.47246950714545,30.867346938775515,11.292962356792145,3000.0,576360.0,10.0,2474.55,902.2363720514883,172357.2,172397.9635444505,0.7,1.1595018087284057,23.0,13.341664064126334,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,6.961086506230964E-8,4000.0,44.4,27.336313938489404,29.081632653061224,8.70279146141215,4000.0,577512.0,10.0,2892.4500000000003,1592.112515033506,172371.2,172501.9936841616,1.4000000000000001,1.6465452046971292,20.799999999999997,14.132704388521447,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,9.528092858898971E-8,5000.0,46.300000000000004,32.110994099851204,31.85279187817259,12.254901960784316,5000.0,577320.0,10.0,3811.5500000000006,1732.339442700778,172396.80000000002,172456.03394476487,0.5,1.0801234497346435,18.099999999999998,10.608696642116053,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.75,1.116698452581962E-7,6000.0,46.0,32.82412360361256,31.904161412358135,14.82649842271294,6000.0,579208.0,10.0,4797.85,1743.0898239076857,172497.19999999998,172547.09708049352,0.0,0.0,8.0,6.091888960832355,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.84375,1.25602042923371E-7,7000.0,47.099999999999994,33.05017819536692,31.119791666666664,14.123376623376618,7000.0,574448.0,10.0,5467.95,2257.00860420905,172253.20000000004,172308.93259235224,0.3,0.6749485577105528,12.9,10.836666154003884,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,1.4191082704605327E-7,8000.0,46.5,32.4549531351002,31.84713375796178,13.430420711974115,8000.0,576376.0,10.0,6458.350000000001,2263.50132305543,172355.59999999995,172401.64908186745,0.0,0.0,16.1,10.26807349668541,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0625,1.5818656215237248E-7,9000.0,45.0,30.989052354214376,29.12371134020619,10.277324632952691,9000.0,575208.0,10.0,7207.35,2835.9945489332217,172280.8,172358.74065619495,0.3,0.6749485577105528,10.4,8.566082989195108,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.15625,1.7219190744476188E-7,10000.0,44.9,32.2359075899473,30.51702395964691,13.50078492935636,10000.0,577464.0,10.0,7767.750000000001,3479.047765590918,172386.40000000002,172481.535060057,0.5,1.0801234497346435,12.5,15.643600040343086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.203125,1.7917488649901419E-7,11000.0,48.9,35.11218227508625,36.75742574257425,16.910569105691053,11000.0,575840.0,10.0,8721.2,3560.3384907085806,172328.8,172374.21200509937,0.2,0.6324555320336759,10.8,13.447841627727643,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.28125,1.9069450596968335E-7,12000.0,49.6,36.170212765957444,32.71028037383177,15.999999999999998,12000.0,569968.0,10.0,9671.1,3753.89214016599,172011.6,172099.10581204444,0.3,0.9486832980505139,7.9,10.429125882194857,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.390625,2.0709926805769405E-7,13000.0,46.300000000000004,29.55575524232427,28.68525896414343,7.890222984562614,13000.0,579768.0,10.0,10683.2,3758.826224963544,172525.2,172575.31683772773,0.0,0.0,6.1000000000000005,9.182713227702488,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.515625,2.258390304632485E-7,14000.0,45.1,28.85015895315126,27.66798418972332,8.6522462562396,14000.0,579504.0,10.0,11010.95,4855.920255078765,172503.59999999995,172570.66558503843,0.39999999999999997,0.9660917830792959,6.9,14.7305427221433,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.609375,2.3978092940524224E-7,15000.0,48.9,33.30374856426855,34.73818646232439,14.261744966442947,15000.0,574848.0,10.0,11903.099999999999,5130.457329568809,172273.2,172329.40302302936,0.5,1.0801234497346435,11.4,14.299961149908379,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.71875,2.5612706344367733E-7,16000.0,45.5,31.085411097651345,29.858429858429858,14.03785488958991,16000.0,577696.0,10.0,12859.249999999998,5222.3413671707785,172422.80000000002,172468.35395258976,0.20000000000000004,0.6324555320336759,8.1,12.269655432995844,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.828125,2.724442230020133E-7,17000.0,46.300000000000004,32.621911053394314,31.065468549422338,14.080000000000004,17000.0,576672.0,10.0,13789.25,5408.920097248715,172365.60000000003,172422.1038090443,0.10000000000000002,0.31622776601683794,8.8,8.243515970479802,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.921875,2.864786721248594E-7,18000.0,47.5,32.807740548288834,34.127979924717685,16.267942583732054,18000.0,578664.0,10.0,14273.15,6340.2069721737,172453.99999999997,172535.5127905404,0.3,0.6749485577105528,6.3,8.844960900610772,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.03125,3.0279107805755406E-7,19000.0,47.9,32.62727754716737,30.3475935828877,12.289562289562282,19000.0,576504.0,10.0,14449.6,7167.7626722929235,172360.80000000002,172409.5091166744,0.5000000000000001,1.2692955176439848,15.1,17.07792597347686,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.140625,3.191179712302983E-7,20000.0,46.400000000000006,32.08802709383636,31.193838254172018,12.703583061889253,20000.0,577016.0,10.0,15459.1,7170.278383350038,172386.40000000005,172435.62850994876,0.0,0.0,9.399999999999999,10.741404832598842,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.28125,3.401315188966692E-7,21000.0,45.7,32.033755316512426,31.783919597989946,14.890282131661447,21000.0,577616.0,10.0,16439.100000000002,7164.437157163664,172416.39999999997,172466.6481010169,0.0,0.0,15.5,13.656500283747665,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.359375,3.517392582984435E-7,22000.0,46.800000000000004,32.66615449067389,32.31552162849873,13.213703099510607,22000.0,574328.0,10.0,17418.599999999995,7163.991826084848,172251.99999999997,172297.94931974518,0.0,0.0,3.2,5.028805910838963,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.453125,3.6567417232112757E-7,23000.0,47.4,33.32386853393637,34.08521303258144,16.10845295055821,23000.0,574560.0,10.0,18412.199999999997,7170.84169323753,172263.6,172309.88797921763,0.0,0.0,4.5,6.7371276438025784,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.515625,3.749591996893287E-7,24000.0,46.300000000000004,32.777359114113246,31.32992327365729,15.566037735849061,24000.0,574256.0,10.0,19407.7,7165.380587093385,172248.40000000005,172294.09812612485,0.0,0.0,6.4,7.244921593011817,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.609375,3.8895794811348127E-7,25000.0,46.400000000000006,31.369862662900548,31.71974522292994,11.842105263157897,25000.0,577192.0,10.0,20407.5,7155.376017189343,172395.2,172444.86450841706,0.0,0.0,3.8,5.2451035367389185,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.703125,4.028682208930453E-7,26000.0,50.0,35.58020972506922,36.30573248407644,17.218543046357613,26000.0,573544.0,10.0,21411.4,7162.681726545546,172212.8,172257.38150545477,0.0,0.0,2.6,3.8643671323171835,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.796875,4.1682098526507623E-7,27000.0,45.800000000000004,30.76667603402908,30.512820512820515,10.855263157894738,27000.0,575296.0,10.0,22393.499999999996,7162.801484423756,172300.4,172347.39203633548,0.0,0.0,3.5,2.6352313834736494,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.875,4.2857699251423284E-7,28000.0,42.6,28.943687253190724,27.61664564943253,11.007751937984498,28000.0,581664.0,10.0,23387.5,7170.013862571933,172618.8,172673.83962335953,0.0,0.0,5.4,5.966573556070519,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,3.015625,4.493419934685032E-7,29000.0,39.300000000000004,24.23429203374133,22.477650063856963,5.451713395638634,29000.0,570784.0,10.0,18461.5,13614.936869018838,171997.2,172198.41786717408,1.7000000000000002,1.766981104093143,13.400000000000002,13.817862835233722,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.109375,4.631853274380168E-7,30000.0,45.0,30.260925576995746,32.680538555691555,16.666666666666664,30000.0,570784.0,10.0,16738.65,14466.626731077145,172081.59999999998,172108.8760445122,0.6000000000000001,0.9660917830792959,22.7,12.693392857003294,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,3.234375,4.816803589670195E-7,31000.0,45.6,31.287537656071397,32.58983890954151,17.948717948717945,31000.0,571936.0,10.0,17587.699999999997,14632.319609973705,172149.19999999998,172157.66798019467,0.3,0.9486832980505138,14.3,9.238205693988657,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,3.34375,4.978755088005629E-7,32000.0,44.3,33.05956256767654,30.46192259675406,20.65527065527066,32000.0,572360.0,10.0,18593.700000000004,14630.000698276775,172170.40000000002,172179.31838589552,0.0,0.0,11.6,8.783823515733655,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,3.46875,5.164706575063368E-7,33000.0,45.800000000000004,34.02987399949366,34.54106280193237,23.229461756373944,33000.0,575032.0,10.0,19577.899999999998,14626.98271184565,172304.0,172316.50925458132,0.0,0.0,8.9,7.400450436741448,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,3.53125,5.258164795426031E-7,34000.0,45.6,33.05702950412979,31.313131313131315,18.805970149253735,34000.0,578016.0,10.0,20590.3,14631.75261330105,172453.2,172469.79585624475,0.0,0.0,7.8,7.284687135812126,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.671875,5.466769410607715E-7,35000.0,49.6,36.830152071381924,37.468982630272954,22.461538461538463,35000.0,573408.0,10.0,21604.8,14636.661485174103,172222.80000000002,172233.11686004617,0.0,0.0,7.6000000000000005,6.899275324264136,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,3.78125,5.628963117487729E-7,36000.0,46.9,34.23806563313509,34.766584766584764,20.270270270270267,36000.0,573216.0,10.0,22586.800000000003,14641.373488921907,172213.19999999998,172223.52954765686,0.0,0.0,11.700000000000001,7.165503781622367,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,3.890625,5.791485050900115E-7,37000.0,46.7,35.34582101103125,35.93750000000001,22.18978102189781,37000.0,574376.0,10.0,23583.4,14642.971187569821,172271.2,172282.9398040817,0.0,0.0,11.4,10.668749796589207,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,3.96875,5.90726978973382E-7,38000.0,46.6,32.8607602575934,34.7985347985348,18.348623853211016,38000.0,572880.0,10.0,24276.65,15034.928506209868,172196.4,172205.9837918715,0.09999999999999999,0.31622776601683794,13.100000000000001,9.596874491208062,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,4.0625,6.047711293730471E-7,39000.0,45.0,31.72112424272519,31.76178660049628,16.666666666666664,39000.0,579064.0,10.0,25106.149999999994,15279.322829700619,172506.8,172522.17885355768,0.19999999999999998,0.6324555320336759,7.8,6.876691711054734,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.15625,6.188174140536123E-7,40000.0,46.9,31.304998046526304,33.87297633872976,15.580286168521459,40000.0,579152.0,10.0,25627.949999999993,15950.377594854017,172508.8,172529.52395935633,0.4000000000000001,1.2649110640673518,8.999999999999998,13.888444437333106,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41000.0,4.265625,6.352375688341757E-7,41000.0,43.9,29.14430059993685,30.3970223325062,15.6390977443609,41000.0,580312.0,10.0,26620.649999999998,15951.061565976697,172566.80000000005,172588.70105164687,0.0,0.0,9.5,7.749551958375114,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42000.0,4.359375,6.494058955771228E-7,42000.0,45.4,31.584005693814614,31.234256926952142,17.02127659574468,42000.0,585232.0,10.0,27617.75,15947.634079188178,173350.4,173242.95218668465,0.0,0.0,4.1,8.143845665422585,1.2,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
43000.0,4.5,6.706924371731779E-7,43000.0,50.3,39.391648242296824,39.39024390243902,27.23279648609077,43000.0,585120.0,10.0,28616.450000000004,15950.326462506224,173652.0,172930.85740169164,0.0,0.0,5.2,6.2325311426774626,1.4000000000000001,0.8432740427115678,1.2,0.4216370213557839,1.2,0.4216370213557839,0.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
44000.0,4.640625,6.927743864556154E-7,44000.0,52.0,42.81902220527971,40.959409594095945,27.382753403933428,44000.0,606984.0,10.0,29618.85,15951.738559842905,175876.4,172925.99047246831,0.0,0.0,7.6,7.229568912920511,2.6,2.065591117977289,1.8,1.0327955589886444,1.8,1.0327955589886444,0.7,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.71875,7.052937225024734E-7,45000.0,52.7,44.08686041219687,41.09589041095891,26.893353941267396,45000.0,619432.0,10.0,30609.75,15954.546475848194,176987.6,173078.3245191549,0.0,0.0,6.800000000000001,9.223159256278006,3.0,2.309401076758503,2.0,1.1547005383792515,2.0,1.1547005383792515,0.9,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
46000.0,4.859375,7.278940110053454E-7,46000.0,53.5,47.38420281409651,42.66337854500617,33.85490753911807,46000.0,621232.0,10.0,30853.199999999993,17095.134511254797,177285.19999999998,172955.74268629655,0.3,0.9486832980505138,5.300000000000001,8.393780766469634,3.2,2.2010098692292237,2.1000000000000005,1.1005049346146119,2.1000000000000005,1.1005049346146119,1.0000000000000002,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
47000.0,4.96875,7.455127585368853E-7,47000.0,55.800000000000004,48.300707414754655,44.40251572327045,32.621951219512205,47000.0,622672.0,10.0,31863.800000000003,17094.634743407838,177446.4,172937.23210776428,0.0,0.0,5.0,11.115554667022044,3.2,2.2010098692292237,2.1000000000000005,1.1005049346146119,2.1000000000000005,1.1005049346146119,1.0000000000000002,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
48000.0,5.0625,7.607100026992461E-7,48000.0,56.599999999999994,49.39566295179528,45.817727840199744,32.18749999999999,48000.0,626608.0,10.0,32856.200000000004,17095.581339232536,177848.80000000005,172933.17700186363,0.0,0.0,2.4,7.244921593011817,3.4,2.2705848487901865,2.2,1.1352924243950933,2.2,1.1352924243950933,1.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
49000.0,5.140625,7.733615994867352E-7,49000.0,59.0,51.881322911532045,48.29760403530895,35.22906793048973,49000.0,625976.0,10.0,33692.4,17370.537110745583,177814.80000000002,172902.5895521887,0.09999999999999999,0.31622776601683794,3.3,5.417051268397268,3.4,2.2705848487901865,2.2,1.1352924243950933,2.2,1.1352924243950933,1.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
