learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.0,0.0,1000.0,48.699999999999996,34.92465594424578,33.37662337662338,16.039279869067098,1000.0,353104.0,5.0,0.0,6026.2,113.97017153624009,4272.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.015625,1.4307119676636325E-9,2000.0,45.9,31.613430060511373,27.673796791443856,9.833333333333332,2000.0,353944.0,5.0,0.0,12050.8,142.01654833152358,4272.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.078125,7.1671416258646385E-9,3000.0,44.5,30.098378660231518,29.209183673469386,9.165302782324058,3000.0,354784.0,5.0,0.0,18003.0,64.82669203345158,4272.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.09375,8.596204376469056E-9,4000.0,43.2,27.598118570827644,27.55102040816326,6.732348111658454,4000.0,353536.0,5.0,2.0,14961.4,12339.634792002558,4291.2,26.290682760248004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.09375,8.596204376469056E-9,5000.0,49.8,36.18314167088298,36.29441624365482,17.973856209150323,5000.0,385464.0,5.0,2.0,20924.6,12304.911937921377,10465.6,5830.95848038725,4.2,3.03315017762062,2.6,1.51657508881031,2.6,1.51657508881031,1.2,1.0954451150103324,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.125,1.1786372245599827E-8,6000.0,55.00000000000001,45.326775786322465,43.25346784363179,29.022082018927453,6000.0,394608.0,5.0,2.0,26916.2,12352.300988075056,12150.4,7220.524967064375,5.0,3.7416573867739413,3.0,1.8708286933869707,3.0,1.8708286933869707,1.4,1.3416407864998738,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.125,1.1786372245599827E-8,7000.0,54.1,43.41492761055664,40.23437500000001,25.487012987012992,7000.0,401496.0,5.0,2.0,32873.6,12366.94037747413,13355.2,8806.858418301046,5.4,4.33589667773576,3.2,2.16794833886788,3.2,2.16794833886788,1.6,1.6733200530681511,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.203125,1.9967782362881634E-8,8000.0,53.7,42.63135004665076,41.019108280254784,25.080906148867317,8000.0,404800.0,5.0,2.0,38874.0,12424.416203588802,14011.2,9309.744744084019,5.8,4.604345773288535,3.4,2.3021728866442674,3.4,2.3021728866442674,1.8,1.7888543819998317,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.21875,2.1627573813829156E-8,9000.0,56.699999999999996,46.50457429130915,44.20103092783504,29.363784665579107,9000.0,410616.0,5.0,2.0,44877.2,12425.736968083624,15068.8,10341.41746570556,6.2,5.0199601592044525,3.6,2.5099800796022267,3.6,2.5099800796022267,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.25,2.498175793637832E-8,10000.0,57.599999999999994,48.088709539189345,46.53215636822194,33.43799058084772,10000.0,414896.0,5.0,2.0,50889.0,12384.736634260738,15852.8,11275.389979951913,6.6,5.5497747702046425,3.8,2.7748873851023212,3.8,2.7748873851023212,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.296875,3.012003920351466E-8,11000.0,58.199999999999996,47.38889049714981,48.26732673267326,32.032520325203244,11000.0,423720.0,5.0,2.0,56880.6,12461.084234527909,17608.0,9842.469608792297,7.4,4.774934554525329,4.2,2.3874672772626644,4.2,2.3874672772626644,2.4,1.6733200530681511,0.0,0.0,0.0,0.0,1.0,0.0
