learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,1.6519140141705673E-8,1000.0,49.1,29.727774510372395,33.896103896103895,16.69394435351882,1000.0,701736.0,5994.25,69.68188996772182,6326.000000000002,4422.26700615015,3.3000000000000003,3.062506713204243,2.1499999999999995,1.5312533566021214,2.1499999999999995,1.5312533566021214,0.95,1.2343760409722462,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.125,2.3172534484830167E-8,2000.0,50.8,32.26816300795436,34.224598930481285,18.0,2000.0,822992.0,11972.05,112.0110309417408,12000.8,6975.178561004352,7.699999999999999,5.478186407543054,4.349999999999999,2.739093203771527,4.349999999999999,2.739093203771527,2.3499999999999996,1.8715318802914815,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.140625,2.6776009084035952E-8,3000.0,54.400000000000006,37.44117961789731,41.83673469387756,25.3682487725041,3000.0,891464.0,17966.050000000003,135.8607936939791,15072.000000000002,7879.669349194265,9.700000000000001,5.740896684041797,5.3500000000000005,2.8704483420208984,5.3500000000000005,2.8704483420208984,3.0,1.8918106058538346,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.25,5.466281436383724E-8,4000.0,54.900000000000006,37.93828506005263,42.47448979591837,25.944170771756987,4000.0,985560.0,23963.399999999998,138.5763707358358,19729.999999999996,5965.689901427997,12.899999999999999,4.423620807961683,6.949999999999999,2.2118104039808415,6.949999999999999,2.2118104039808415,3.9000000000000004,1.1192102478745307,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.359375,8.347159665491845E-8,5000.0,58.099999999999994,43.080937819660306,46.827411167512686,31.535947712418295,5000.0,1018144.0,29968.049999999996,132.1293126567985,21346.000000000004,6224.4821217680865,14.0,4.6111991818546345,7.500000000000001,2.3055995909273173,7.500000000000001,2.3055995909273173,4.0,1.025978352085154,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.5,1.2269948557433153E-7,6000.0,57.9,44.973937774803545,46.91046658259773,33.596214511041005,6000.0,1078288.0,35985.6,161.49935636176252,24044.400000000005,7947.126103520894,16.0,6.138746657609824,8.5,3.069373328804912,8.5,3.069373328804912,4.5,1.1920791213585393,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.578125,1.4563184878271484E-7,7000.0,57.3,42.89245056920311,44.401041666666664,30.681818181818173,7000.0,1134648.0,41992.65,166.26050421900544,26794.4,8858.707179053303,18.3,6.720745572675072,9.65,3.360372786337536,9.65,3.360372786337536,4.8,1.0563093645728083,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.671875,1.7465826305043364E-7,8000.0,57.4,44.37342407690569,45.73248407643312,31.067961165048537,8000.0,1196808.0,48005.950000000004,176.50241537038158,29868.0,10365.984696923011,20.399999999999995,8.133103246673597,10.699999999999998,4.066551623336799,10.699999999999998,4.066551623336799,5.150000000000001,0.9880869341680845,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.8125,2.2044586431648994E-7,9000.0,59.099999999999994,46.370783747069396,47.29381443298969,33.278955954322996,9000.0,1258600.0,54008.200000000004,171.51142358762158,32933.200000000004,11973.386425076682,22.299999999999997,9.228673851243826,11.649999999999999,4.614336925621913,11.649999999999999,4.614336925621913,5.4,0.9403246919632547,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.921875,2.590099918759531E-7,10000.0,57.9,45.77614175996991,46.91046658259773,33.90894819466247,10000.0,1362912.0,60014.15,183.63730701117294,38102.0,11520.646144159944,26.400000000000006,8.56184928376427,13.700000000000003,4.280924641882135,13.700000000000003,4.280924641882135,5.750000000000001,1.1641577031891928,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.078125,3.166802020536528E-7,11000.0,59.4,47.117927022739295,49.75247524752475,33.98373983739837,11000.0,1426704.0,65977.65,211.37426896135494,41017.2,12177.205079033616,28.2,9.741933235138431,14.6,4.8709666175692155,14.6,4.8709666175692155,5.8999999999999995,1.1652874052533584,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.1875,3.5906715008119736E-7,12000.0,63.2,50.85141903171952,50.86782376502003,38.666666666666664,12000.0,1498016.0,71976.05,213.00592405896032,44575.6,12103.412787091782,31.099999999999994,9.591114308786572,16.05,4.795557154393286,16.05,4.795557154393286,6.25,1.332784974957958,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.328125,4.167867397579053E-7,13000.0,60.3,45.22317073675525,47.27755644090305,31.903945111492284,13000.0,1586584.0,77980.09999999999,246.03463598701472,48975.600000000006,13178.617571457818,34.099999999999994,10.41203756792058,17.549999999999997,5.20601878396029,17.549999999999997,5.20601878396029,6.449999999999999,1.394538218230416,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.4375,4.6357554512926264E-7,14000.0,60.6,46.56562053724607,48.08959156785244,34.442595673876866,14000.0,1653584.0,83969.95,248.30615122634745,52284.4,14021.542637557472,36.0,10.789858786452163,18.5,5.394929393226081,18.5,5.394929393226081,6.55,1.3562719801759995,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.5625,5.18370943609625E-7,15000.0,61.6,47.90854150698961,50.95785440613027,35.57046979865772,15000.0,1694480.0,89951.3,254.50924913396773,54306.8,15161.707172312337,37.3,11.244179780996406,19.15,5.622089890498203,19.15,5.622089890498203,6.65,1.3484884325167863,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.65625,5.611925735138356E-7,16000.0,60.0,48.48281902014321,48.51994851994852,36.90851735015773,16000.0,1765608.0,95953.05,250.43424917110545,57816.0,14635.289204701872,39.9,10.53265598532788,20.45,5.26632799266394,20.45,5.26632799266394,6.8999999999999995,1.2096106376585989,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.828125,6.429070749113129E-7,17000.0,62.1,51.3297633265272,51.34788189987163,39.36,17000.0,1837760.0,101953.8,278.5555977765145,61384.399999999994,14375.247609400642,42.19999999999999,10.689887006443348,21.599999999999994,5.344943503221674,21.599999999999994,5.344943503221674,6.95,1.1909748329127612,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.90625,6.812541202331582E-7,18000.0,62.7,51.947789276240954,53.19949811794229,40.5103668261563,18000.0,1897336.0,107938.95,282.4184046112383,64285.99999999999,14775.499008404704,44.49999999999999,11.311382250682392,22.749999999999996,5.655691125341196,22.749999999999996,5.655691125341196,7.0,1.2139539573337679,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.046875,7.527543736311295E-7,19000.0,65.7,54.34932482252136,54.14438502673797,42.255892255892256,19000.0,1965384.0,113931.4,287.02107019667073,67638.79999999999,15793.818329700356,47.5,12.154704525625588,24.25,6.077352262812794,24.25,6.077352262812794,7.050000000000001,1.0990426455975697,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.15625,8.104740279830163E-7,20000.0,62.3,51.17117933906241,51.60462130937099,38.59934853420196,20000.0,2039896.0,119925.6,287.6899647006732,71329.19999999998,16857.83633990904,50.5,13.793591189198587,25.75,6.896795594599293,25.75,6.896795594599293,7.2,1.1516578439248717,0.0,0.0,0.0,0.0,1.0,0.0
