learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.0,0.0,1000.0,48.6,35.016827354628596,33.246753246753244,15.875613747954171,1000.0,4320.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.0,0.0,2000.0,45.300000000000004,30.843881643159488,26.8716577540107,8.833333333333332,2000.0,4320.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.0,0.0,3000.0,44.2,29.541718121415535,28.8265306122449,8.674304418985269,3000.0,4320.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.0,0.0,4000.0,43.0,27.624102443638858,27.29591836734694,6.403940886699504,4000.0,15608.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
5000.0,0.0,0.0,5000.0,53.800000000000004,43.38256109352539,41.37055837563452,24.509803921568633,5000.0,16208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
6000.0,0.0,0.0,6000.0,54.400000000000006,45.07281465688578,42.496847414880214,28.07570977917982,6000.0,16728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
7000.0,0.0,0.0,7000.0,54.0,44.448738261776874,40.10416666666667,25.324675324675326,7000.0,16968.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
8000.0,0.0,0.0,8000.0,54.0,44.17557025868555,41.40127388535033,25.566343042071203,8000.0,17088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
9000.0,0.015625,6.9073090950648E-11,9000.0,54.6,44.9954324400947,41.49484536082475,25.93800978792823,9000.0,17088.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
10000.0,0.03125,1.3885760886801613E-10,10000.0,53.5,44.4286427920962,41.361916771752846,27.00156985871272,10000.0,17264.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
11000.0,0.03125,1.3885760886801613E-10,11000.0,56.2,46.67309511547467,45.79207920792079,28.780487804878057,11000.0,17264.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
12000.0,0.03125,1.3885760886801613E-10,12000.0,56.8,46.72914483013748,42.32309746328437,27.999999999999993,12000.0,17544.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0,3.0
13000.0,0.03125,1.3885760886801613E-10,13000.0,54.6,43.4459597494681,39.70783532536521,22.126929674099497,13000.0,24056.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
14000.0,0.03125,1.3885760886801613E-10,14000.0,52.5,41.43033292231813,37.41765480895916,20.965058236272878,14000.0,24992.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
15000.0,0.03125,1.3885760886801613E-10,15000.0,56.3,45.069172618553786,44.1890166028097,26.677852348993277,15000.0,25472.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0,5.0
16000.0,0.03125,1.3885760886801613E-10,16000.0,50.3,40.0233631325906,36.03603603603604,21.60883280757098,16000.0,29064.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0,6.0
17000.0,0.046875,2.837623469531536E-10,17000.0,54.1,44.42695595321695,41.07830551989731,26.560000000000006,17000.0,35848.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
18000.0,0.0625,4.3070435317026246E-10,18000.0,55.300000000000004,44.97845297134819,43.91468005018822,28.708133971291872,18000.0,36352.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
19000.0,0.0625,4.3070435317026246E-10,19000.0,51.6,39.58548653655078,35.294117647058826,18.51851851851852,19000.0,36592.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
20000.0,0.0625,4.3070435317026246E-10,20000.0,53.5,42.859108995327965,40.30808729139924,24.2671009771987,20000.0,36592.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
21000.0,0.0625,4.3070435317026246E-10,21000.0,51.5,41.556829656836165,39.070351758793976,23.981191222570537,21000.0,36712.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
22000.0,0.0625,4.3070435317026246E-10,22000.0,53.1,42.110843540051526,40.330788804071254,23.491027732463298,22000.0,36952.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
23000.0,0.0625,4.3070435317026246E-10,23000.0,53.5,43.873523511562055,41.72932330827068,25.837320574162685,23000.0,37368.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
24000.0,0.0625,4.3070435317026246E-10,24000.0,54.0,45.15935974744693,41.176470588235304,27.672955974842772,24000.0,37544.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
25000.0,0.0625,4.3070435317026246E-10,25000.0,51.4,40.103450953230166,38.089171974522294,20.065789473684212,25000.0,37840.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
26000.0,0.0625,4.3070435317026246E-10,26000.0,56.49999999999999,46.23822029970647,44.58598726114649,27.980132450331112,26000.0,37840.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
27000.0,0.0625,4.3070435317026246E-10,27000.0,56.10000000000001,45.83984632827469,43.71794871794873,27.796052631578956,27000.0,37840.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0,8.0
28000.0,0.09375,8.179146486024061E-10,28000.0,48.8,38.90943801455673,35.435056746532155,20.62015503875969,28000.0,47896.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
29000.0,0.09375,8.179146486024061E-10,29000.0,52.2,42.80969507278005,38.95274584929758,25.545171339563865,29000.0,50432.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
30000.0,0.109375,1.0227409398390186E-9,30000.0,54.400000000000006,45.4425375920059,44.186046511627914,30.909090909090914,30000.0,50672.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
31000.0,0.109375,1.0227409398390186E-9,31000.0,54.6,46.08268113962686,43.742255266418844,31.52337858220211,31000.0,50848.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
32000.0,0.109375,1.0227409398390186E-9,32000.0,57.699999999999996,51.337191845355804,47.19101123595505,39.743589743589745,32000.0,51144.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
33000.0,0.125,1.229475148850017E-9,33000.0,55.1,48.3855244961841,45.772946859903385,36.40226628895185,33000.0,51144.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
34000.0,0.125,1.229475148850017E-9,34000.0,57.4,49.99319156129238,46.21212121212121,36.41791044776119,34000.0,51144.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
35000.0,0.125,1.229475148850017E-9,35000.0,56.89999999999999,48.85638850158711,46.52605459057071,33.692307692307686,35000.0,51440.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0,11.0
36000.0,0.125,1.229475148850017E-9,36000.0,57.9,50.341710368320605,48.28009828009827,36.78678678678678,36000.0,54808.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
37000.0,0.125,1.229475148850017E-9,37000.0,57.3,50.37791805732454,48.677884615384606,37.664233576642324,37000.0,55048.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
38000.0,0.125,1.229475148850017E-9,38000.0,56.2,48.29503467065827,46.52014652014653,33.02752293577983,38000.0,55288.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
39000.0,0.125,1.229475148850017E-9,39000.0,59.099999999999994,51.392850351777895,49.25558312655086,38.030303030303024,39000.0,55672.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
40000.0,0.125,1.229475148850017E-9,40000.0,58.199999999999996,49.784361072067846,47.94520547945205,33.545310015898245,40000.0,55792.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
41000.0,0.125,1.229475148850017E-9,41000.0,55.300000000000004,47.05152822082474,44.540942928039705,32.78195488721805,41000.0,55792.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
42000.0,0.125,1.229475148850017E-9,42000.0,59.699999999999996,52.24677162107398,49.24433249370277,38.75379939209726,42000.0,55792.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
43000.0,0.125,1.229475148850017E-9,43000.0,61.4,55.359982421547485,52.92682926829267,43.48462664714494,43000.0,56072.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
44000.0,0.125,1.229475148850017E-9,44000.0,59.699999999999996,53.557945394284964,50.43050430504306,39.03177004538577,44000.0,56072.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0,12.0
45000.0,0.125,1.229475148850017E-9,45000.0,60.5,53.59230783690809,50.80946450809465,38.94899536321484,45000.0,59296.0,27.0,14.0,14.0,5.0,0.0,0.0,1.0,13.0
