learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.5,2.9649378524886235E-7,1000.0,45.7,44.57486985811984,45.7,39.666666666666664,1000.0,2312328.0,5994.650000000001,70.35419786974153,87669.20000000001,18490.459427840928,10.500000000000002,2.5853840191189756,5.750000000000001,1.2926920095594878,5.750000000000001,1.2926920095594878,3.4,0.8207826816681233,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.828125,5.762942277619409E-7,2000.0,66.8,66.25330351697501,66.8,63.111111111111114,2000.0,3296184.0,11457.150000000001,2305.2303064530174,132896.0,35910.02257397171,16.6,5.009464726106499,8.799999999999999,2.5047323630532494,8.799999999999999,2.5047323630532494,4.6000000000000005,1.2732056517228263,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.453125,8.421208541322914E-7,3000.0,87.3,87.02095043433827,87.3,85.88888888888889,3000.0,1644072.0,3084.8499999999995,5139.142927468291,43352.799999999996,64390.993964586145,4.3999999999999995,9.472397573448534,2.6999999999999997,4.736198786724267,2.6999999999999997,4.736198786724267,0.7499999999999999,1.8317377426626162,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,2.09375,1.0620500607829956E-6,4000.0,57.199999999999996,56.388832280415734,57.199999999999996,52.444444444444436,4000.0,1327032.0,1859.3000000000002,1806.5591924400023,34564.8,36792.4844865733,2.8000000000000003,4.5375625267549236,1.9,2.2687812633774618,1.9,2.2687812633774618,0.55,1.3562719801759995,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,2.703125,1.3066796883423298E-6,5000.0,30.5,29.577464788732392,30.5,22.777777777777775,5000.0,1551768.0,4953.25,2030.4500116969143,45241.19999999999,30469.848319108412,4.5,4.298102396468273,2.75,2.1490511982341367,2.75,2.1490511982341367,1.3,1.625455401774498,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,3.28125,1.6607380692019233E-6,6000.0,49.6,47.24170417669841,49.6,44.0,6000.0,2367312.0,9960.149999999998,3711.338831699986,81452.80000000002,48337.807551700804,9.2,6.387487769068525,5.1,3.1937438845342623,5.1,3.1937438845342623,3.0000000000000004,2.2941573387056176,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,3.859375,2.0786627363930974E-6,7000.0,78.5,78.08135385870119,78.5,76.11111111111111,7000.0,2794336.0,14067.2,6640.7510482030975,101102.4,55775.83456206403,11.499999999999998,7.280109889280518,6.249999999999999,3.640054944640259,6.249999999999999,3.640054944640259,3.15,1.9269556026896009,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,4.546875,2.303697045944217E-6,8000.0,71.0,70.45037701243122,71.0,67.77777777777777,8000.0,1265256.0,2012.1499999999999,956.7591829768483,25892.4,11153.667314763385,2.0999999999999996,1.7740824166460336,1.5499999999999998,0.8870412083230168,1.5499999999999998,0.8870412083230168,0.55,0.8870412083230169,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,5.15625,2.5284872713705732E-6,9000.0,41.9,40.367443292620344,41.9,35.44444444444444,9000.0,1425920.0,2531.3,436.59545287792935,40626.8,18021.171039699533,3.8000000000000003,2.4623480450043695,2.4,1.2311740225021848,2.4,1.2311740225021848,1.3000000000000003,1.1285761872936695,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,5.703125,2.879949978604499E-6,10000.0,65.9,65.065054809958,65.9,62.111111111111114,10000.0,2484240.0,7331.200000000001,2358.6380905313267,90152.40000000002,44026.467559029945,11.799999999999999,6.534120969350449,6.3999999999999995,3.2670604846752247,6.3999999999999995,3.2670604846752247,3.7500000000000004,1.8027756377319946,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,6.234375,3.1609600733241275E-6,11000.0,89.60000000000001,89.38233792751404,89.60000000000001,88.44444444444444,11000.0,2044680.0,6449.550000000001,6422.559126563999,64727.6,54172.657308199116,7.0,7.341303483857976,4.000000000000001,3.6706517419289884,4.000000000000001,3.6706517419289884,1.7999999999999996,2.117595458607661,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,6.9375,3.3511987162960903E-6,12000.0,65.60000000000001,65.05485574969526,65.60000000000001,61.777777777777786,12000.0,1045848.0,634.3499999999999,644.1898441167463,21410.399999999998,6666.435695648051,1.2,0.8944271909999159,1.1,0.4472135954999579,1.1,0.4472135954999579,0.09999999999999999,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,7.46875,3.6582598436830773E-6,13000.0,59.3,58.638211382113816,59.3,54.77777777777778,13000.0,2234232.0,6192.9,1473.3080179614421,79209.59999999999,31126.829027468615,10.0,5.005260390723681,5.5,2.5026301953618404,5.5,2.5026301953618404,3.15,1.3088765773505318,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,8.046875,4.090488558479895E-6,14000.0,86.1,85.78005115089515,86.1,84.55555555555556,14000.0,2889976.0,10155.7,4391.743234992827,105684.8,57577.674117664734,13.3,8.265973372173038,7.15,4.132986686086519,7.15,4.132986686086519,3.7499999999999996,2.1490511982341367,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,8.671875,4.42143274186593E-6,15000.0,92.5,92.3445952842707,92.5,91.66666666666667,15000.0,2046808.0,6822.200000000001,7132.884768155832,60997.99999999999,66035.37490897148,6.8999999999999995,9.436212442667763,3.9499999999999997,4.718106221333882,3.9499999999999997,4.718106221333882,1.5499999999999998,2.3725402775129134,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,9.359375,4.643571543662499E-6,16000.0,54.50000000000001,53.84927477431789,54.50000000000001,49.44444444444445,16000.0,1248976.0,1245.25,988.4853844458995,29450.399999999998,10007.247933373092,2.4,1.465390194130093,1.7,0.7326950970650465,1.7,0.7326950970650465,0.7000000000000002,0.7326950970650465,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,9.953125,5.070237966720015E-6,17000.0,54.0,53.142507894468785,54.0,48.88888888888889,17000.0,2777712.0,5873.05,2386.2190413199487,93306.79999999999,42609.55810934542,11.299999999999997,6.165267740803272,6.149999999999999,3.082633870401636,6.149999999999999,3.082633870401636,3.0500000000000003,1.5035046776746235,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,10.578125,5.741171803998037E-6,18000.0,72.0,71.24075595727197,72.0,68.88888888888889,18000.0,4149560.0,10409.1,4066.015052914378,151686.8,66882.36456535183,19.6,10.30278449842821,10.3,5.151392249214105,10.3,5.151392249214105,4.3999999999999995,1.5694450913417908,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,11.3125,6.13313934688146E-6,19000.0,65.8,65.08422664624808,65.8,62.0,19000.0,2063168.0,4463.2,6218.8660465765915,66647.6,86632.11820007392,7.3999999999999995,11.361986483098159,4.2,5.680993241549079,4.2,5.680993241549079,1.6000000000000003,2.112618729145617,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,11.953125,6.489567879018271E-6,20000.0,45.300000000000004,44.607594936708864,45.300000000000004,39.22222222222222,20000.0,2150656.0,6213.3,1621.6911608110318,69755.59999999999,44171.48061863113,8.9,6.695638800545354,4.95,3.347819400272677,4.95,3.347819400272677,2.5499999999999994,2.0894471693929497,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,12.546875,6.964817261582034E-6,21000.0,80.7,80.31214934203815,80.7,78.55555555555556,21000.0,3094000.0,10814.449999999999,3907.2889170854705,112153.19999999998,77062.63528325513,14.5,11.695703214608796,7.75,5.847851607304398,7.75,5.847851607304398,3.8000000000000003,2.6872016358247004,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,13.171875,7.580883264179446E-6,22000.0,93.0,92.86442405708462,93.0,92.22222222222223,22000.0,3810216.0,15757.800000000001,5904.943304687941,142179.2,84806.48612334715,18.400000000000006,12.717166185494067,9.700000000000001,6.3585830927470335,9.700000000000001,6.3585830927470335,4.249999999999999,2.2682012349227887,0.0,0.0,0.0,0.0,1.0,0.0
