learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.734375,3.4613444262908566E-7,1000.0,38.4,37.00143178564124,38.4,31.555555555555557,1000.0,1841640.0,20.0,897.575,229.28382226804868,212215.8,181428.71569384474,0.65,1.1821033884786183,21.1,8.996490543832254,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.515625,6.68642072317501E-7,2000.0,55.400000000000006,54.37806873977087,55.400000000000006,50.44444444444445,2000.0,1595704.0,20.0,1054.5250000000003,920.5794994152269,206083.6,175394.02266761602,1.7999999999999998,0.5231483637805969,14.200000000000001,6.5982453808011075,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,2.546875,1.1564020921165746E-6,3000.0,90.0,89.7917517354022,90.0,88.8888888888889,3000.0,1828288.0,20.0,1479.7500000000002,1353.0856995240213,211876.6,181143.4509769423,3.55,0.8870412083230169,24.95,6.668661982105476,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,3.71875,1.6778869515595337E-6,4000.0,51.5,50.55561219288409,51.5,46.111111111111114,4000.0,1720136.0,20.0,2243.9499999999994,1909.49640226328,209081.0,178768.81333421406,5.25,2.7886046312580213,32.45,11.217819471011758,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,4.375,1.9963540641280513E-6,5000.0,34.1,30.294055426274596,34.1,26.77777777777778,5000.0,1875848.0,20.0,3014.0000000000005,2021.3375997857688,213103.4,182284.0855380724,0.3499999999999999,0.5871429486123999,11.950000000000001,8.744772874785196,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,4.890625,2.2400419887465736E-6,6000.0,26.1,19.525209626483722,26.1,17.88888888888889,6000.0,1826848.0,20.0,3876.525,2070.736819037598,211894.59999999998,181008.88173261637,0.10000000000000002,0.4472135954999579,8.35,7.139770009564292,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,5.375,2.46931080861638E-6,7000.0,34.0,31.909625502940266,34.0,26.666666666666668,7000.0,1829640.0,20.0,4934.475,2089.581089013801,211964.39999999997,181079.96432526992,0.0,0.0,6.6499999999999995,7.013333166566605,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,6.0625,2.792795227530102E-6,8000.0,39.900000000000006,37.66853349927401,39.900000000000006,33.22222222222223,8000.0,1818792.0,20.0,4237.55,3795.1785468623348,211704.0,180792.58582483622,1.8000000000000003,0.7677718959499146,14.749999999999998,6.137674855478982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,6.96875,3.22297642317911E-6,9000.0,40.2,39.20292801952013,40.2,33.55555555555556,9000.0,1834872.0,20.0,4716.874999999999,4247.537658863255,212111.40000000002,181196.01477600908,3.15,1.3088765773505318,23.200000000000003,8.250039872311943,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,7.828125,3.603203901244948E-6,10000.0,46.300000000000004,44.57632366601301,46.300000000000004,40.33333333333333,10000.0,1710264.0,20.0,5378.725,4659.537794770789,208861.2,178435.84486669797,1.2000000000000004,1.1964860832322377,22.35,12.35132637241421,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
