learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.359375,1.0686037260004217E-7,1000.0,48.1,46.954210956663935,48.1,42.333333333333336,1000.0,1170024.0,6024.1,85.43412016805061,70586.40000000001,20211.532391186967,8.400000000000002,4.005551702879947,4.7,2.0027758514399734,4.7,2.0027758514399734,3.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.484375,1.5980114565334387E-7,2000.0,69.5,68.8934217236104,69.5,66.11111111111111,2000.0,1637128.0,11987.6,75.10318827379338,112364.8,33825.54820381909,13.599999999999998,4.812021982031624,7.299999999999999,2.406010991015812,7.299999999999999,2.406010991015812,4.6,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.796875,2.7671381960519485E-7,3000.0,83.6,83.29598696272153,83.6,81.77777777777777,3000.0,1446152.0,8776.8,8010.152374747103,89232.0,83812.49939133317,11.0,12.54325848148452,6.0,6.27162924074226,6.0,6.27162924074226,3.0,3.018461712712472,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.171875,4.5976371944157614E-7,4000.0,75.6,75.0994999489744,75.6,72.88888888888889,4000.0,1886864.0,11645.5,8539.361545871629,136776.8,97376.40219364123,17.6,14.637850479720944,9.3,7.318925239860472,9.3,7.318925239860472,3.9,3.0713731999438516,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.546875,6.099402607004676E-7,5000.0,46.0,44.28394552208007,46.0,40.0,5000.0,1548008.0,10260.500000000002,2219.3939738386043,99447.2,33978.58723372707,12.8,5.287301349039561,6.8999999999999995,2.6436506745197796,6.8999999999999995,2.6436506745197796,4.0,1.699673171197595,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.875,7.987488384565546E-7,6000.0,66.8,66.08784473953013,66.8,63.111111111111114,6000.0,2224256.0,18177.5,5463.038699600555,169968.8,86833.26063822932,26.0,18.31210892642716,13.499999999999998,9.15605446321358,13.499999999999998,9.15605446321358,6.5,3.597838857487151,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,2.234375,1.1011315250976219E-6,7000.0,89.0,88.80065159845245,89.0,87.77777777777777,7000.0,3252456.0,29527.5,5163.166798476386,266721.60000000003,89447.60896276409,40.800000000000004,17.396040417929083,20.900000000000002,8.698020208964541,20.900000000000002,8.698020208964541,7.800000000000001,2.7406406388125952,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,2.65625,1.2548233240118457E-6,8000.0,77.8,77.42525930445395,77.8,75.33333333333334,8000.0,1408216.0,9016.099999999999,13376.881578554348,88780.79999999999,119667.15844355775,11.2,18.219647514580398,6.1000000000000005,9.109823757290199,6.1000000000000005,9.109823757290199,2.5,2.6770630673681683,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,3.09375,1.394967451536407E-6,9000.0,58.5,57.5968120976806,58.5,53.888888888888886,9000.0,1238224.0,5597.4,3610.837766748567,65193.600000000006,47904.35386197515,7.8,6.811754546370561,4.3999999999999995,3.4058772731852804,4.3999999999999995,3.4058772731852804,2.3000000000000003,1.8287822299126937,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,3.578125,1.673542525774489E-6,10000.0,73.3,72.69659474383884,73.3,70.33333333333334,10000.0,2223120.0,13669.199999999999,5127.342712252506,173200.0,84092.09123336154,26.8,14.187631546135137,13.9,7.093815773067568,13.9,7.093815773067568,5.8,2.3944379994757297,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,3.921875,1.920434006024152E-6,11000.0,92.10000000000001,91.94617188296463,92.10000000000001,91.22222222222223,11000.0,2776296.0,22868.000000000004,9252.810960279405,222516.8,111525.32563084793,31.4,18.638073338673657,16.2,9.319036669336828,16.2,9.319036669336828,5.6000000000000005,2.7968235951204043,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,4.34375,2.0237575517967343E-6,12000.0,71.8,71.27724587492361,71.8,68.66666666666667,12000.0,946712.0,4060.8999999999996,3008.5183673474003,36952.0,24783.07321988583,3.6,3.5339622081862854,2.3000000000000003,1.766981104093143,2.3000000000000003,1.766981104093143,1.1,1.523883926754995,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,4.859375,2.3112814718236527E-6,13000.0,66.5,65.84420880913541,66.5,62.777777777777786,13000.0,2155472.0,12267.500000000002,3088.419129946942,157783.19999999998,96726.47966163832,24.2,16.389698661727195,12.6,8.194849330863597,12.6,8.194849330863597,5.9,2.685351208149711,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,5.28125,2.6969991934796177E-6,14000.0,91.10000000000001,90.91465904450796,91.10000000000001,90.11111111111111,14000.0,3534176.0,23670.7,3809.154880022602,286305.60000000003,127655.0033342472,45.400000000000006,20.90826524500671,23.200000000000003,10.454132622503355,23.200000000000003,10.454132622503355,7.5,2.1213203435596424,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,5.671875,3.0009895110399362E-6,15000.0,93.2,93.0654701203345,93.2,92.44444444444446,15000.0,3008168.0,25013.899999999998,14970.079695846647,248077.6,188104.39771998953,38.2,30.597022367834715,19.6,15.298511183917357,19.6,15.298511183917357,5.5,3.6590830666833583,0.0,0.0,0.0,0.0,1.0,0.0
