learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.0,0.0,1000.0,37.6,36.131013306038895,37.6,30.66666666666667,1000.0,74624.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
2000.0,0.0,0.0,2000.0,56.2,55.35623279991846,56.2,51.33333333333334,2000.0,87584.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0
3000.0,0.0,0.0,3000.0,61.3,60.35648432698218,61.3,56.99999999999999,3000.0,82136.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
4000.0,0.015625,6.91345323705011E-10,4000.0,56.3,55.09658857377722,56.3,51.444444444444436,4000.0,171032.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0,5.0
5000.0,0.0625,3.161872478408946E-9,5000.0,26.900000000000002,23.455497382198956,26.900000000000002,18.77777777777778,5000.0,203728.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0,7.0
6000.0,0.109375,6.129493057313893E-9,6000.0,49.9,49.04912030916302,49.9,44.333333333333336,6000.0,244720.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0,8.0
7000.0,0.125,7.239577826112509E-9,7000.0,50.5,48.96381070213424,50.5,45.0,7000.0,274624.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0,9.0
8000.0,0.125,7.239577826112509E-9,8000.0,56.2,55.30156138381468,56.2,51.33333333333334,8000.0,331632.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0,11.0
9000.0,0.125,7.239577826112509E-9,9000.0,35.5,34.86822175098455,35.5,28.333333333333332,9000.0,282640.0,22.0,10.0,9.0,5.0,0.0,0.0,1.0,12.0
10000.0,0.1875,1.2299634464499023E-8,10000.0,54.400000000000006,53.36469625690326,54.400000000000006,49.33333333333334,10000.0,312952.0,24.0,11.0,10.0,5.0,0.0,0.0,1.0,13.0
11000.0,0.234375,1.6876696867661345E-8,11000.0,72.0,71.50417260329738,72.0,68.88888888888889,11000.0,377440.0,28.0,13.0,12.0,5.0,0.0,0.0,1.0,15.0
12000.0,0.25,1.8699308081219594E-8,12000.0,51.5,50.68130974171242,51.5,46.111111111111114,12000.0,450896.0,32.0,15.0,14.0,5.0,0.0,0.0,1.0,17.0
13000.0,0.296875,2.4109225099285443E-8,13000.0,40.6,39.872456726389316,40.6,34.0,13000.0,446120.0,34.0,16.0,15.0,6.0,0.0,0.0,1.0,18.0
14000.0,0.328125,2.7905205368167824E-8,14000.0,67.10000000000001,66.359918200409,67.10000000000001,63.44444444444445,14000.0,469544.0,36.0,17.0,16.0,6.0,0.0,0.0,1.0,19.0
15000.0,0.34375,3.015215042978525E-8,15000.0,62.3,61.55807076577955,62.3,58.111111111111114,15000.0,555872.0,42.0,20.0,19.0,7.0,0.0,0.0,1.0,22.0
16000.0,0.359375,3.252582650424706E-8,16000.0,45.1,44.25264012997563,45.1,38.99999999999999,16000.0,587224.0,42.0,20.0,19.0,7.0,0.0,0.0,1.0,22.0
17000.0,0.359375,3.252582650424706E-8,17000.0,42.6,42.06701655228098,42.6,36.222222222222214,17000.0,589384.0,42.0,20.0,19.0,7.0,0.0,0.0,1.0,22.0
18000.0,0.375,3.507981697718303E-8,18000.0,58.5,57.752214191183946,58.5,53.888888888888886,18000.0,631832.0,46.0,22.0,21.0,7.0,0.0,0.0,1.0,24.0
19000.0,0.375,3.507981697718303E-8,19000.0,53.800000000000004,53.11072769714807,53.800000000000004,48.66666666666667,19000.0,642232.0,46.0,22.0,21.0,7.0,0.0,0.0,1.0,24.0
20000.0,0.375,3.507981697718303E-8,20000.0,33.7,32.82674772036474,33.7,26.333333333333336,20000.0,667672.0,48.0,23.0,22.0,8.0,0.0,0.0,1.0,25.0
21000.0,0.421875,4.3255471003552285E-8,21000.0,54.50000000000001,53.52400408580185,54.50000000000001,49.44444444444445,21000.0,674192.0,48.0,23.0,22.0,8.0,0.0,0.0,1.0,25.0
22000.0,0.453125,4.882128754009804E-8,22000.0,71.5,70.89757990401307,71.5,68.33333333333333,22000.0,688464.0,48.0,23.0,22.0,8.0,0.0,0.0,1.0,25.0
