learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,6.140625,7.647087913937867E-6,1000.0,60.099999999999994,59.3975781011499,59.57446808510638,52.892561983471076,1000.0,4836600.0,1909.4799999999998,1176.5995840660873,71453.76000000001,286.79585002547725,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,13.234375,1.972762602640109E-5,2000.0,74.0,73.56380274529741,73.86934673366834,69.5906432748538,2000.0,6582832.0,7141.16,1489.8644282933524,71509.43999999999,91.848179967082,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,20.328125,3.090572142456141E-5,3000.0,73.9,73.46482309882066,73.74245472837022,69.7215777262181,3000.0,6091080.0,8141.899999999998,4738.25256367185,71490.87999999998,157.97708952986278,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,25.984375,3.891495632059459E-5,4000.0,73.7,73.20973820922889,73.43434343434343,69.41860465116278,4000.0,5473560.0,5066.959999999999,861.896413113998,73781.59999999999,16404.872725591536,1.0799999999999998,0.5656854249492379,1.0400000000000003,0.282842712474619,1.0400000000000003,0.282842712474619,0.039999999999999994,0.28284271247461895,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,32.171875,4.7694687899719515E-5,5000.0,68.7,68.03839477177577,68.28774062816616,63.85681293302541,5000.0,5484896.0,3034.72,3171.443442950975,71398.08,297.03101191763915,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,38.375,5.682538512499176E-5,6000.0,74.0,73.54766507274391,73.7108190091001,69.62616822429906,6000.0,5689784.0,5161.9800000000005,4807.70432929888,78344.0,34257.36992180199,1.2400000000000002,1.1876919823329446,1.1200000000000006,0.5938459911664724,1.1200000000000006,0.5938459911664724,0.08000000000000002,0.3958973274443149,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,44.5,6.503734314012238E-5,7000.0,66.0,65.37325593237601,65.76032225579054,60.14067995310669,7000.0,5182544.0,2203.2600000000007,3554.359810952499,75186.56000000001,26406.31862244724,1.1200000000000008,0.8485281374238572,1.06,0.4242640687119286,1.06,0.4242640687119286,0.04000000000000002,0.28284271247461895,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,50.1875,7.183172018913966E-5,8000.0,61.0,60.43822276323798,60.68548387096774,54.4924154025671,8000.0,4617752.0,3137.9399999999996,1321.3108582319428,71500.16,111.31264299169086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,56.5,8.019985142810683E-5,9000.0,68.7,68.12951837898382,68.1586978636826,63.34894613583138,9000.0,5124240.0,2039.4000000000003,3188.970251555527,71463.03999999998,229.8117206296823,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,62.921875,8.861968727109747E-5,10000.0,68.8,68.03606187890584,68.29268292682926,63.76306620209059,10000.0,5068088.0,779.8600000000002,562.7696092196384,71500.15999999997,111.31264299169106,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,68.625,9.698767460779184E-5,11000.0,67.30000000000001,66.72771672771674,66.93629929221436,62.19653179190752,11000.0,5671664.0,3521.6400000000003,1298.1480491650482,71518.72,65.61950929411127,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,74.859375,1.0429424033241554E-4,12000.0,59.4,58.89440113394755,58.906882591093115,53.11778290993071,12000.0,4530256.0,2812.7399999999993,633.1212222322171,71398.08,265.80488777926377,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,80.265625,1.1224381981365798E-4,13000.0,78.5,78.02759325498212,78.28282828282829,74.94172494172494,13000.0,5683952.0,8209.76,2395.595171755607,71398.08,265.80488777926377,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,85.96875,1.2012263449529807E-4,14000.0,68.8,68.15351638256608,68.35699797160242,63.76306620209059,14000.0,5340112.0,2430.3599999999997,838.7532234190925,71463.04000000001,162.63656239779314,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,92.3125,1.2765297827880003E-4,15000.0,69.89999999999999,69.38567941415783,69.68781470292043,64.83644859813083,15000.0,4588504.0,1405.46,1298.8535794370075,71425.91999999998,235.10413150997394,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
