learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,4.78125,1.1364853708073497E-5,1000.0,59.3,58.380202474690655,58.76393110435664,51.94805194805194,1000.0,9207800.0,40.0,825.6000000000003,304.24800842883326,327363.89999999997,212488.7373908663,0.7500000000000001,0.8086075400626399,15.200000000000001,4.339443424077474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,9.40625,2.224967517476115E-5,2000.0,73.6,73.13797313797313,73.46733668341709,69.12280701754385,2000.0,9097288.0,40.0,1673.0625000000005,422.8163363354731,326145.9000000001,210345.48618227034,0.32499999999999996,0.6155047959570695,11.950000000000003,7.74911078438797,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,14.234375,3.3482646136285944E-5,3000.0,76.6,76.16136919315404,76.45875251509054,72.8538283062645,3000.0,8993288.0,40.0,2475.0374999999995,831.4671103164421,324740.30000000005,209476.7431654407,0.425,0.8129559864454138,10.349999999999998,9.56636736778306,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,19.25,4.541214704254849E-5,4000.0,74.1,73.62794012829652,73.83838383838383,69.88372093023256,4000.0,9193896.0,40.0,3276.375,1181.6946678286583,327324.7,211770.80269392752,0.35,0.6998168258505861,12.85,8.977321855225403,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,23.796875,5.5883088821752206E-5,5000.0,67.30000000000001,66.53361989560946,66.86930091185411,62.24018475750578,5000.0,8901744.0,40.0,4171.324999999998,1559.3315329803456,323692.00000000006,207902.0520109885,0.44999999999999996,0.8149248824907507,8.975000000000001,9.444812712779814,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,28.703125,6.814673834014684E-5,6000.0,77.10000000000001,76.66836474783494,76.84529828109201,73.24766355140187,6000.0,9662120.0,40.0,5015.350000000001,1682.823449451937,333177.50000000006,217680.35121122672,0.049999999999999996,0.22072142786315224,9.825,8.779017817851484,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,34.453125,8.226325871267667E-5,7000.0,63.4,62.59580991313235,63.141993957703924,57.0926143024619,7000.0,9489912.0,40.0,5070.349999999999,2853.359965223322,330765.5,216639.43739654985,0.9750000000000002,1.0497252387758795,14.100000000000001,10.817364957113382,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,40.671875,9.664417490259641E-5,8000.0,56.3,55.84966659931298,55.94758064516129,49.00816802800466,8000.0,8938936.0,40.0,4859.0625,3585.5221724609182,324041.7,208942.39420934703,1.3250000000000002,0.8883144511391021,19.850000000000005,10.852271415321075,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,46.078125,1.0970537156228804E-4,9000.0,72.0,71.49837133550488,71.51576805696847,67.21311475409836,9000.0,9338760.0,40.0,5651.887500000001,3759.403861285302,329145.10000000003,213483.17654782988,0.39999999999999997,0.8711913446392583,13.55,5.799867372488921,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,52.203125,1.234271493093628E-4,10000.0,70.8,70.06049420691069,70.32520325203252,66.08594657375144,10000.0,8659776.0,40.0,5131.937500000001,4843.869682637366,320542.4000000001,206057.74123206525,1.9500000000000002,0.5038314736557788,17.900000000000002,8.932223428946198,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
