learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.546875,1.2721381305406492E-7,1000.0,60.0,59.357854094696194,59.47315096251267,52.77449822904367,1000.0,915392.0,5.0,6.0,1957.2,2410.803123442476,115401.6,3231.0810574790594,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.03125,2.434777302874459E-7,2000.0,73.9,73.48908075165058,73.76884422110552,69.47368421052632,2000.0,927824.0,5.0,9.0,4995.6,1875.342048800698,117552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,1.453125,3.446927035434378E-7,3000.0,75.4,74.96692785183677,75.25150905432596,71.46171693735499,3000.0,927392.0,5.0,13.0,6323.0,2547.8649885737664,117398.4,343.4600413439681,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.8125,4.306830426988502E-7,4000.0,70.6,70.018356108505,70.3030303030303,65.81395348837209,4000.0,924920.0,5.0,21.0,4105.6,451.86867561272715,116937.6,1001.3494894391263,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,2.25,5.353696502020789E-7,5000.0,65.60000000000001,64.90512140379514,65.1469098277609,60.27713625866051,5000.0,924944.0,5.0,32.0,2271.4,1732.246316203328,117244.8,420.65092416396806,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,2.671875,6.364274627736044E-7,6000.0,73.8,73.32518835267766,73.50859453993934,69.39252336448598,6000.0,925952.0,5.0,36.0,4037.0,2504.331747193251,117244.8,420.65092416396726,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,3.078125,7.337096030823885E-7,7000.0,64.0,63.23153916862425,63.74622356495468,57.796014067995316,7000.0,925640.0,5.0,48.0,965.6,719.3540852737267,117552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,3.5,8.349167183041572E-7,8000.0,59.599999999999994,59.06788247213779,59.27419354838709,52.8588098016336,8000.0,927320.0,5.0,54.0,2894.0,280.11336990582936,117552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,4.0,9.535641099015871E-7,9000.0,68.60000000000001,67.99510753236164,68.05696846388607,63.23185011709602,9000.0,917256.0,5.0,59.0,4463.4,4320.288508884563,115707.2,4125.098204891611,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,4.4375,1.0583104772700202E-6,10000.0,68.8,68.02295787639643,68.29268292682926,63.76306620209059,10000.0,925472.0,5.0,69.0,872.2,820.8381082771438,117552.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
