learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.390625,9.489142232471042E-8,1000.0,58.699999999999996,58.01138674257829,58.156028368794324,51.2396694214876,1000.0,962648.0,4098.0,2714.517728805616,70356.8,762.4298000471907,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,1.21875,2.665685800214608E-7,2000.0,72.2,71.7795147700741,72.06030150753769,67.48538011695906,2000.0,801344.0,12330.8,1335.0055056066246,71099.2,207.5071083119817,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,2.078125,6.162242627599172E-7,3000.0,74.1,73.6225684896629,73.94366197183099,69.95359628770301,3000.0,1572816.0,20947.2,7154.686834516239,225419.2,89057.19844684089,6.2,3.03315017762062,3.6,1.51657508881031,3.6,1.51657508881031,1.8,1.0954451150103321,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,2.765625,7.698526476613348E-7,4000.0,75.4,74.93632195618952,75.15151515151514,71.3953488372093,4000.0,863776.0,6806.6,2021.391303038578,83971.2,28835.243768693894,1.4,0.8944271909999159,1.2,0.4472135954999579,1.2,0.4472135954999579,0.2,0.4472135954999579,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,3.53125,1.0247182864178386E-6,5000.0,69.1,68.48225214198285,68.69300911854103,64.31870669745959,5000.0,1286760.0,12292.8,6739.667068928554,168131.2,110915.55859842207,4.2,3.63318042491699,2.6,1.816590212458495,2.6,1.816590212458495,1.4,1.51657508881031,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,4.34375,1.2354423072085612E-6,6000.0,73.5,73.02798982188295,73.20525783619817,69.04205607476635,6000.0,1002520.0,15634.2,5349.7582842592055,111097.6,41231.769653993746,3.4,2.6076809620810595,2.2,1.3038404810405297,2.2,1.3038404810405297,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,5.15625,1.652160135563463E-6,7000.0,68.0,67.32359848871643,67.77442094662639,62.48534583821805,7000.0,1982536.0,17244.4,15073.52204363665,290201.6,215730.44650396478,8.6,7.536577472566709,4.8,3.7682887362833544,4.8,3.7682887362833544,2.4,2.302172886644268,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,5.84375,1.8740940463936164E-6,8000.0,64.2,63.61418843378392,63.91129032258065,58.22637106184364,8000.0,1247824.0,11263.8,12205.144865998109,160550.4,199811.45676061723,3.8,6.260990336999411,2.4,3.1304951684997055,2.4,3.1304951684997055,0.8,1.788854381999832,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,6.65625,2.0906093413941565E-6,9000.0,69.1,68.50794944965348,68.56561546286876,63.81733021077282,9000.0,1030072.0,15241.6,5625.318373212312,116806.4,33958.30733119659,3.4,1.6733200530681511,2.2,0.8366600265340756,2.2,0.8366600265340756,1.2,0.8366600265340756,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,7.453125,2.293819270562381E-6,10000.0,69.19999999999999,68.45878136200716,68.69918699186991,64.22764227642276,10000.0,985728.0,6642.2,13068.389770740694,109344.0,85310.46547757198,2.2,2.6832815729997477,1.6,1.3416407864998738,1.6,1.3416407864998738,0.6,1.3416407864998738,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,8.28125,2.576774309596254E-6,11000.0,71.6,71.05289980633982,71.28412537917089,67.16763005780346,11000.0,1320760.0,12614.0,16135.088456528523,157862.4,193800.90603709777,3.8,6.260990336999411,2.4,3.1304951684997055,2.4,3.1304951684997055,0.8,1.7888543819998317,0.0,0.0,0.0,0.0,1.0,0.0
