learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead,splits
1000.0,0.125,7.473346259858873E-9,1000.0,55.1,54.31420431420432,54.50861195542047,46.98937426210154,1000.0,231104.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
2000.0,0.171875,1.3420714013692406E-8,2000.0,61.1,60.49959382615759,60.904522613065325,54.50292397660819,2000.0,490440.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
3000.0,0.265625,2.65822422483729E-8,3000.0,65.9,65.12222563158433,65.69416498993964,60.440835266821345,3000.0,542672.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
4000.0,0.296875,3.1124638755702314E-8,4000.0,57.8,57.06582561806898,57.37373737373736,50.93023255813953,4000.0,561872.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
5000.0,0.375,4.248063002402584E-8,5000.0,65.4,64.66503267973856,64.94427558257345,60.046189376443415,5000.0,561872.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0,4.0
6000.0,0.421875,5.138126046707233E-8,6000.0,65.5,64.95327102803739,65.11627906976744,59.69626168224299,6000.0,733976.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0,6.0
7000.0,0.515625,7.2713786115249E-8,7000.0,60.0,59.150326797385624,59.71802618328298,53.106682297772565,7000.0,879576.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0,7.0
8000.0,0.625,1.0158097009278006E-7,8000.0,56.8,55.86432366162648,56.4516129032258,49.59159859976662,8000.0,1020208.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0,9.0
9000.0,0.703125,1.2319379796584447E-7,9000.0,60.199999999999996,59.60211124644742,59.5116988809766,53.39578454332552,9000.0,1069360.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0,9.0
10000.0,0.78125,1.4714334004869063E-7,10000.0,64.7,64.00530233506679,64.1260162601626,59.00116144018583,10000.0,1184976.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0,10.0
11000.0,0.8125,1.5753398959835368E-7,11000.0,58.3,57.18685831622176,57.83619817997977,51.79190751445086,11000.0,1285272.0,23.0,12.0,12.0,6.0,0.0,0.0,1.0,11.0
12000.0,0.9375,2.0291009503934117E-7,12000.0,60.4,59.48849104859335,59.91902834008097,54.27251732101617,12000.0,1403200.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
13000.0,1.03125,2.3740783540738954E-7,13000.0,75.6,75.08678782928324,75.35353535353535,71.56177156177156,13000.0,1422400.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
14000.0,1.125,2.719987080328994E-7,14000.0,57.599999999999994,56.70818868695119,56.99797160243407,50.75493612078977,14000.0,1426240.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
15000.0,1.203125,3.0090204543537563E-7,15000.0,59.5,58.82472549816998,59.21450151057401,52.68691588785046,15000.0,1430080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
16000.0,1.28125,3.2996060326695444E-7,16000.0,64.5,63.708852995297484,64.03242147923,58.86442641946697,16000.0,1437760.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
17000.0,1.359375,3.59127815398905E-7,17000.0,61.4,60.40213377102995,60.97067745197169,55.47866205305652,17000.0,1443136.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
18000.0,1.453125,3.9425904914322827E-7,18000.0,47.8,46.80525833078569,47.43202416918429,38.732394366197184,18000.0,1448520.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0,12.0
19000.0,1.546875,4.3143065542810494E-7,19000.0,48.0,46.600944752515915,47.20812182741116,39.884393063583815,19000.0,1532648.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0,13.0
20000.0,1.625,4.625158099871543E-7,20000.0,48.199999999999996,46.98597891720397,47.46450304259635,39.05882352941176,20000.0,1538032.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0,13.0
21000.0,1.75,5.150724124784271E-7,21000.0,53.400000000000006,52.205128205128204,52.834008097166,45.36928487690504,21000.0,1625248.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0,14.0
22000.0,1.859375,5.612767482590344E-7,22000.0,53.6,52.38095238095239,53.17860746720484,46.10917537746806,22000.0,1632928.0,29.0,15.0,15.0,6.0,0.0,0.0,1.0,14.0
22950.0,1.96875,6.077146907854411E-7,22950.0,54.1,53.00020479213599,53.77643504531723,47.05882352941177,22950.0,1641184.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0,15.0
