learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.140625,4.192697815597057E-9,1000.0,59.9,59.243825592031705,59.37183383991894,52.65643447461629,1000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.21875,6.521974379817645E-9,2000.0,63.800000000000004,63.2412672623883,63.61809045226131,57.66081871345029,2000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.296875,8.851250944038232E-9,3000.0,67.4,66.67007463449546,67.20321931589538,62.18097447795824,3000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.375,1.1180527508258819E-8,4000.0,52.800000000000004,52.15892965740929,52.323232323232325,45.116279069767444,4000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.4375,1.3043948759635288E-8,5000.0,61.199999999999996,60.48074964351191,60.68895643363729,55.19630484988453,5000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.5,1.4907370011011757E-8,6000.0,67.30000000000001,66.54389195825661,66.93629929221436,61.79906542056075,6000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.546875,1.630493594954411E-8,7000.0,50.7,49.34758039658892,50.35246727089627,42.20398593200469,7000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.59375,1.770250188807646E-8,8000.0,47.8,46.68573179450515,47.37903225806451,39.08984830805134,8000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.671875,2.0031778452297047E-8,9000.0,52.1,51.26170126170126,51.271617497456766,43.91100702576112,9000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.71875,2.14293443908294E-8,10000.0,45.0,43.51442949573791,44.105691056910565,36.120789779326365,10000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.78125,2.329276564220587E-8,11000.0,40.9,38.81354177451081,40.24266936299291,31.676300578034677,11000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12000.0,0.828125,2.469033158073822E-8,12000.0,53.800000000000004,52.26286422814631,53.23886639676114,46.6512702078522,12000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13000.0,0.890625,2.655375283211469E-8,13000.0,59.4,58.14432989690721,58.98989898989899,52.68065268065267,13000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14000.0,0.953125,2.841717408349116E-8,14000.0,46.300000000000004,44.20199501246883,45.537525354969574,37.63066202090592,14000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.984375,2.9348884709179394E-8,15000.0,46.9,45.03674567850119,46.52567975830815,37.967289719626166,15000.0,115248.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16000.0,1.03125,3.204312330732742E-8,16000.0,65.2,64.42445307708036,64.74164133738603,59.67555040556199,16000.0,222176.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
17000.0,1.125,3.756198566406965E-8,17000.0,64.0,62.974390620178966,63.59959555106168,58.47750865051903,17000.0,227552.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
18000.0,1.203125,4.2161037628021506E-8,18000.0,49.8,48.68125127785729,49.44612286002014,41.07981220657277,18000.0,227552.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
19000.0,1.265625,4.590236737082402E-8,19000.0,43.2,41.52167198599814,42.33502538071066,34.335260115606935,19000.0,231392.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
20000.0,1.328125,4.9705785285267564E-8,20000.0,49.2,47.67202307375361,48.478701825557806,40.23529411764706,20000.0,235232.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
21000.0,1.390625,5.350920319971111E-8,21000.0,44.0,41.81213632585204,43.31983805668016,34.3493552168816,21000.0,235232.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
22000.0,1.4375,5.741629542575942E-8,22000.0,46.800000000000004,44.899016053858105,46.31685166498487,38.21138211382114,22000.0,322192.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
22950.0,1.46875,6.017624400556087E-8,22950.0,54.6,53.62141178874247,54.279959718026184,47.63552479815456,22950.0,341392.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
