learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.25,8.464014778534571E-8,1000.0,71.8,71.12324435469667,31.553398058252423,65.22811344019728,1000.0,1331584.0,4094.9999999999995,2538.029725769359,78755.2,42019.51194597312,6.3999999999999995,3.8930136855083823,3.6999999999999997,1.9465068427541912,3.6999999999999997,1.9465068427541912,2.5,1.7159383568311668,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,1.8752762116491794E-7,2000.0,78.10000000000001,75.51406487766538,57.80346820809249,67.36214605067063,2000.0,2121112.0,7392.799999999999,4352.121061428937,145194.40000000002,60864.221409808764,11.000000000000002,5.656854249492381,6.000000000000001,2.8284271247461903,6.000000000000001,2.8284271247461903,3.5999999999999996,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.796875,3.668790062268575E-7,3000.0,78.9,77.40802603965909,45.75835475578407,71.48648648648648,3000.0,1929120.0,7452.0,5375.693030257174,135182.39999999997,90550.4526416075,10.0,8.232726023485645,5.5,4.1163630117428225,5.5,4.1163630117428225,3.2,2.14993539954628,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.09375,4.93402250059363E-7,4000.0,81.8,81.64804581938449,34.767025089605724,80.0,4000.0,1647400.0,7551.8,3767.1289332859315,110321.6,45795.608026194925,7.800000000000001,3.552776691859794,4.4,1.776388345929897,4.4,1.776388345929897,2.8,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.296875,5.817818196697368E-7,5000.0,82.1,81.98765701681387,47.660818713450276,80.60671722643553,5000.0,1681864.0,9144.8,4115.948892890787,111438.4,48501.74705490286,7.4,3.864367132317183,4.2,1.9321835661585915,4.2,1.9321835661585915,2.7,1.5670212364724212,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.609375,6.702703992939658E-7,6000.0,73.2,73.17255552430136,41.86550976138828,72.34262125902993,6000.0,1094560.0,5148.599999999999,2268.3291550292156,63454.4,63757.52498193623,3.6,5.168279318217149,2.3000000000000003,2.5841396591085743,2.3000000000000003,2.5841396591085743,0.9,1.6633299933166197,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.9375,8.074172526701458E-7,7000.0,72.8,71.99167988137653,44.147843942505126,66.62576687116564,7000.0,1615656.0,9523.1,4690.727530636017,105179.2,44344.845855584565,7.4,3.6270588023294517,4.2,1.8135294011647258,4.2,1.8135294011647258,2.4000000000000004,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,2.203125,9.523878300872942E-7,8000.0,78.3,77.58317725921802,52.5164113785558,73.30873308733089,8000.0,2109664.0,8394.000000000002,5027.384276805054,160347.2,72653.4019159155,13.0,7.302967433402215,7.0,3.6514837167011076,7.0,3.6514837167011076,4.199999999999999,1.1352924243950937,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,2.5,1.1189395445398987E-6,9000.0,75.7,74.52995717259465,52.90697674418605,68.72586872586874,9000.0,2168592.0,8364.7,6631.783722683094,162881.6,138822.02116955363,13.6,12.825322174857398,7.3,6.412661087428699,7.3,6.412661087428699,3.6,3.2041639575194445,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.8125,1.3544820184405479E-6,10000.0,80.80000000000001,80.7993087751159,52.709359605911345,80.5668016194332,10000.0,2913544.0,14395.8,6629.405919420265,226290.4,160265.49821204675,18.6,14.10437284438175,9.8,7.052186422190875,9.8,7.052186422190875,4.8,3.2930904093942583,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,3.171875,1.5183236812137896E-6,11000.0,76.9,76.87004671049009,50.955414012738856,76.01246105919003,11000.0,1762296.0,8195.5,7639.936899826682,108720.8,94032.78735608957,9.0,8.844332774281067,5.0,4.422166387140534,5.0,4.422166387140534,2.8,2.250925735484551,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,3.5625,1.7166856883300675E-6,12000.0,75.7,75.23251369601223,48.625792811839325,71.37809187279152,12000.0,1962912.0,6964.5,8152.158585988813,136081.6,87368.23508601077,10.599999999999998,8.262364471909155,5.8,4.131182235954578,5.8,4.131182235954578,3.3,2.2135943621178655,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,3.921875,1.9382851314730943E-6,13000.0,73.2,72.68915056124816,47.03557312252964,68.65497076023391,13000.0,2383544.0,11954.9,9133.645730058848,177224.80000000002,122517.81301490635,13.999999999999996,12.265579661982732,7.499999999999998,6.132789830991366,7.499999999999998,6.132789830991366,3.7,2.3118054512532935,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,4.328125,2.1079809003923505E-6,14000.0,68.30000000000001,67.59565924944596,50.31347962382446,63.01050175029172,14000.0,1614656.0,4444.4,2442.790126064865,107714.40000000001,43496.13594894251,7.599999999999998,3.5339622081862854,4.3,1.7669811040931427,4.3,1.7669811040931427,2.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
