learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] Change detected,[err] Change detected,[avg] Warning detected,[err] Warning detected,[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,1.65625,7.938748846451441E-7,1000.0,73.0,72.2230223820713,34.46601941747573,66.70776818742293,1000.0,1872520.0,20.0,575.5500000000001,452.8092341859898,215664.2,179875.16606164,4.05,2.114486375359025,34.4,7.293833011524188,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,3.4375,1.972672762349248E-6,2000.0,76.1,73.19903695953728,53.94990366088632,64.38152011922503,2000.0,2558096.0,20.0,1121.85,830.4202689463467,239498.99999999997,190001.93689862947,3.9999999999999996,2.4920927582635186,30.500000000000004,11.203852720804289,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,4.984375,2.969073539134115E-6,3000.0,79.4,77.97403930457841,47.04370179948587,72.16216216216218,3000.0,2489896.0,20.0,1791.35,1272.2424690286048,237567.4,188823.02072939716,1.7999999999999998,1.5423836644690752,23.400000000000002,8.274246666297593,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,6.15625,3.75139662840714E-6,4000.0,87.7,87.60517962412455,55.91397849462366,86.48351648351648,4000.0,2580520.0,20.0,2487.95,1560.0703460470572,240124.80000000005,190652.14139371805,1.5500000000000003,2.4809802816416613,17.85,8.368330022676032,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,7.53125,4.653773438702854E-6,5000.0,81.10000000000001,80.98874614242548,44.73684210526317,79.52329360780067,5000.0,2536808.0,20.0,3174.0,2063.2364792312997,239204.8,189356.75836424585,1.7499999999999996,1.831737742662616,21.2,8.660861753647236,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,8.78125,5.478431121446191E-6,6000.0,78.9,78.87839259562533,54.229934924078094,78.2249742002064,6000.0,2550152.0,20.0,3627.0499999999997,2675.6957202154895,239300.8,189968.89007430017,1.3500000000000003,1.3869694338832113,18.3,9.79849612521174,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,10.28125,6.374922231771051E-6,7000.0,75.8,74.98074447792982,50.308008213552355,70.30674846625766,7000.0,2310240.0,20.0,3651.0250000000005,3500.862996077923,231830.40000000005,185656.02803486356,2.6999999999999993,1.5593520921743176,22.3,7.413359207325792,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,12.078125,7.498170339709354E-6,8000.0,80.10000000000001,79.38289588466026,56.455142231947484,75.5227552275523,8000.0,2416352.0,20.0,4250.400000000001,3852.635127499233,234764.2,187696.8722517431,2.5,1.504379571363837,30.349999999999994,7.005824644349046,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,13.71875,8.550870924308482E-6,9000.0,72.7,71.20377705183635,47.09302325581395,64.86486486486487,9000.0,2481312.0,20.0,4943.7,4201.586850410029,238584.80000000002,188401.74155044593,1.9499999999999997,1.5035046776746235,26.55,8.840546541809207,1.2000000000000002,0.6155870112510924,1.1000000000000003,0.3077935056255463,1.1000000000000003,0.3077935056255463,0.10000000000000002,0.30779350562554625,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,14.84375,9.268117363616411E-6,10000.0,83.89999999999999,83.89903394203651,60.3448275862069,83.70445344129554,10000.0,2464440.0,20.0,5581.750000000001,4474.091701259827,237711.99999999994,188795.65340498544,1.4000000000000001,2.2337129816094383,16.45,10.148761915674868,1.3,0.7326950970650464,1.1500000000000004,0.36634754853252327,1.1500000000000004,0.36634754853252327,0.15000000000000002,0.36634754853252327,0.0,0.0,0.0,0.0,1.0,0.0
