learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,1.109375,1.7225666993504595E-6,1000.0,68.7,67.9364383426929,24.029126213592253,61.405672009864375,1000.0,6025760.0,5944.86,368.12647615864245,96699.35999999999,46176.94060704909,8.040000000000001,4.242448272747562,4.520000000000002,2.121224136373781,4.520000000000002,2.121224136373781,2.68,1.596424576537028,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,2.828125,6.456220322029872E-6,2000.0,77.5,74.83396006093538,56.64739884393064,66.46795827123697,2000.0,1.0645992E7,11409.960000000001,1671.3150383907334,182617.6,53873.65406017972,15.0,5.126959555693246,7.999999999999999,2.5634797778466227,7.999999999999999,2.5634797778466227,4.779999999999998,1.344527836097422,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,5.28125,1.501567428931594E-5,3000.0,79.2,77.79106517468182,46.52956298200515,71.8918918918919,3000.0,1.3487416E7,14271.800000000005,7191.164743443648,228021.60000000003,134093.4723468701,19.000000000000007,12.368491898236208,10.000000000000004,6.184245949118104,10.000000000000004,6.184245949118104,4.6599999999999975,2.615573453335983,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,7.703125,2.5372729449170745E-5,4000.0,86.7,86.60233099293852,52.32974910394266,85.38461538461539,4000.0,1.6530536E7,19231.260000000006,7449.902414947788,288267.68,183592.45053677887,23.84,16.806655630118318,12.42,8.403327815059159,12.42,8.403327815059159,5.52,3.0253351981597825,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,10.15625,3.8405752857215706E-5,5000.0,83.3,83.19649038074539,51.169590643274844,81.90682556879739,5000.0,2.0536568E7,27056.440000000002,8077.692194569195,359979.19999999984,183467.39652836946,29.99999999999999,16.602188200994,15.499999999999995,8.301094100497,15.499999999999995,8.301094100497,6.779999999999999,2.6130754419469255,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,12.828125,4.628673195838928E-5,6000.0,81.0,80.97877230989785,58.78524945770066,80.3921568627451,6000.0,1.1401616E7,15862.759999999998,15263.9995595345,192089.91999999995,211897.31272037388,15.400000000000002,18.68754905802038,8.200000000000001,9.34377452901019,8.200000000000001,9.34377452901019,3.3800000000000012,3.206434856627516,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,15.90625,5.510700206893186E-5,7000.0,77.0,76.29843363561419,52.772073921971256,71.77914110429448,7000.0,1.1076384E7,12920.119999999997,15196.308945830986,195224.95999999996,244094.36297322495,16.16,22.591636523641366,8.579999999999998,11.295818261820683,8.579999999999998,11.295818261820683,3.2599999999999993,2.891295874990087,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,18.921875,6.843315314553265E-5,8000.0,83.0,82.36690122145512,62.80087527352296,79.08979089790898,8000.0,1.7081648E7,18185.160000000007,10775.2761797268,308635.8400000001,177519.7211482299,26.64,15.844602505945943,13.82,7.9223012529729715,13.82,7.9223012529729715,5.74,1.6264397075972354,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,21.96875,8.747770541554525E-5,9000.0,79.9,78.82826563469384,61.04651162790699,74.13127413127414,9000.0,2.41612E7,27268.32,13128.409884658226,448553.12,231224.6106130768,40.84000000000001,21.822437432839713,20.920000000000005,10.911218716419857,20.920000000000005,10.911218716419857,7.339999999999999,2.73010428147994,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,24.78125,1.0913373178078069E-4,10000.0,84.6,84.59852145805998,62.06896551724137,84.41295546558703,10000.0,2.9763816E7,35438.58000000001,16456.06282181465,549527.0399999999,276591.83486295387,50.51999999999998,25.73827452472687,25.75999999999999,12.869137262363434,25.75999999999999,12.869137262363434,8.239999999999997,2.478972795826727,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,28.203125,1.3373904078940139E-4,11000.0,80.2,80.17212200353697,57.96178343949045,79.4392523364486,11000.0,2.7795024E7,31678.279999999995,23844.95925257023,513245.43999999994,386759.03990945057,47.04,36.932348521952115,24.02,18.466174260976057,24.02,18.466174260976057,6.679999999999999,3.976666638155681,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,31.546875,1.49914585506647E-4,12000.0,78.0,77.59055706819295,53.48837209302326,74.08716136631331,12000.0,1.8699392E7,20418.52,24638.00639731806,333849.43999999994,393267.42901045893,29.240000000000006,36.73321357561623,15.120000000000003,18.366606787808117,15.120000000000003,18.366606787808117,5.120000000000001,3.9776929012087563,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,34.65625,1.6324225573852245E-4,13000.0,78.2,77.73510907753902,56.916996047430835,74.50292397660819,13000.0,1.6568512E7,19061.300000000007,15421.682762743301,282568.1599999999,220016.2579253726,23.199999999999992,20.651629376840155,12.099999999999996,10.325814688420078,12.099999999999996,10.325814688420078,5.559999999999998,2.8867042149291633,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,38.09375,1.7553608366546947E-4,14000.0,72.39999999999999,71.74959082967153,56.739811912225704,67.79463243873978,14000.0,1.3824416E7,14430.96,15790.560180522218,251417.44,225259.9228222457,21.039999999999992,19.47678890686165,11.019999999999996,9.738394453430825,11.019999999999996,9.738394453430825,4.580000000000002,2.733690038115111,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,41.015625,1.9042749009612534E-4,15000.0,78.2,77.97757349227194,61.75438596491228,75.75083426028921,15000.0,1.9700464E7,22811.6,17503.05667882158,362991.20000000007,255941.2272904441,31.24,21.724208259216166,16.119999999999997,10.862104129608083,16.119999999999997,10.862104129608083,6.520000000000001,2.7273370431501083,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,43.3125,2.0411717136287026E-4,16000.0,90.8,90.79115029543392,-4.545454545454551,90.50567595459236,16000.0,2.303872E7,32376.14000000001,18213.08177086582,426412.32,265488.67322235217,40.120000000000005,23.79902244605343,20.560000000000002,11.899511223026716,20.560000000000002,11.899511223026716,7.72,2.9488150508435806,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,45.5,2.1770277086438403E-4,17000.0,88.5,88.44571798308453,-134.6938775510202,87.48639825897715,17000.0,2.4006736E7,37362.48000000001,23270.04721344412,440864.8000000001,299085.2477675274,42.56000000000001,28.563684664844146,21.780000000000005,14.281842332422073,21.780000000000005,14.281842332422073,7.38,3.5044578025417734,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,47.734375,2.3432631449799777E-4,18000.0,94.8,94.77138904083142,-73.33333333333333,94.37229437229436,18000.0,2.8758744E7,48059.12,23527.324117896867,528228.7999999998,304008.48749913246,51.64000000000001,29.599889685398416,26.320000000000004,14.799944842699208,26.320000000000004,14.799944842699208,8.479999999999999,3.072192596003508,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,49.921875,2.511642858088534E-4,19000.0,96.2,96.1921291309136,-72.72727272727273,96.04578563995837,19000.0,2.9753912E7,54767.259999999995,25172.77798378273,558943.3599999998,324906.41604394454,55.279999999999994,32.26171041937599,28.139999999999997,16.130855209687994,28.139999999999997,16.130855209687994,8.719999999999997,3.6647242845311916,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,52.203125,2.6693950669141485E-4,20000.0,93.5,93.49947345735005,-209.523809523809,93.4409687184662,20000.0,2.6730368E7,49029.34000000002,35642.71833732491,494507.51999999984,422431.0683198945,48.35999999999999,41.104029297500695,24.679999999999996,20.552014648750347,24.679999999999996,20.552014648750347,7.199999999999997,5.115003939990901,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,54.453125,2.82315986987669E-4,21000.0,95.3,95.3,-80.76923076923077,95.3,21000.0,2.6416592E7,49956.76,37603.21431959925,481600.31999999983,421290.94062065746,46.64000000000001,41.615715241985704,23.820000000000004,20.807857620992852,23.820000000000004,20.807857620992852,7.44,3.9957119873327067,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,56.28125,2.9563466407125813E-4,22000.0,98.9,98.9,0.0,98.9,22000.0,2.8161616E7,59694.66000000001,38328.55139161927,508146.08000000013,431767.2595149553,50.080000000000005,43.312269082342304,25.540000000000003,21.656134541171152,25.540000000000003,21.656134541171152,7.839999999999999,3.8880245233122626,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,58.453125,3.124476475770481E-4,23000.0,96.89999999999999,96.89999999999999,-93.75,96.89999999999999,23000.0,2.9923496E7,68312.32,38975.17193397952,542712.6399999999,432657.0037077615,53.28000000000001,43.4530194343176,27.140000000000008,21.726509717158805,27.140000000000008,21.726509717158805,8.339999999999996,3.7011305498372753,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,61.15625,3.322962144738994E-4,24000.0,95.6,95.6,-62.96296296296296,95.6,24000.0,2.8383464E7,62101.719999999994,51355.702769414114,510192.95999999996,486086.31508745893,51.03999999999999,49.251524372969655,26.02,24.62576218648483,26.02,24.62576218648483,7.32,4.644241551839949,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,63.421875,3.4912224593831013E-4,25000.0,97.7,97.7,-4.545454545454546,97.7,25000.0,2.8707544E7,67962.43999999996,51447.78040358505,529048.6400000001,461315.5060480824,52.60000000000001,47.49393086898319,26.800000000000004,23.746965434491596,26.800000000000004,23.746965434491596,8.0,3.6533462435841204,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,65.65625,3.665895070945326E-4,26000.0,96.6,96.6,-17.24137931034483,96.6,26000.0,3.0218376E7,74513.57999999997,53157.361193965546,558128.96,456891.02262123284,55.72,47.55363888735089,28.360000000000003,23.776819443675446,28.360000000000003,23.776819443675446,8.360000000000001,3.1671786195545186,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,67.578125,3.818932236430959E-4,27000.0,97.1,97.1,-3.571428571428571,97.1,27000.0,3.0780392E7,80494.78,53882.64837827419,563650.72,449746.63864923705,55.879999999999995,47.59893670566817,28.439999999999998,23.799468352834086,28.439999999999998,23.799468352834086,8.240000000000004,3.605890871836229,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,69.9375,3.9536016870341775E-4,28000.0,91.9,91.9,-76.0869565217389,91.9,28000.0,2.2063504E7,58672.08000000001,64046.5324900066,403393.28,446431.10837217636,40.11999999999999,44.97102922313159,20.559999999999995,22.485514611565794,20.559999999999995,22.485514611565794,6.079999999999999,4.534853686634627,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,72.1875,4.0835935499570846E-4,29000.0,92.7,92.7,-114.70588235294086,92.7,29000.0,2.2332432E7,56015.82000000001,66436.90702530777,404877.60000000015,447365.53742813866,40.8,46.12538368846553,20.9,23.062691844232766,20.9,23.062691844232766,6.799999999999999,4.040610178208842,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,74.25,4.1828546860617476E-4,30000.0,95.39999999999999,95.39999999999999,-48.38709677419355,95.39999999999999,30000.0,1.86032E7,44624.59999999999,56699.67084596538,332968.31999999995,348345.59310121665,32.88000000000001,36.25175013368462,16.940000000000005,18.12587506684231,16.940000000000005,18.12587506684231,6.579999999999999,3.037789206858521,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,76.234375,4.289055486959922E-4,31000.0,94.0,94.0,-46.34146341463415,94.0,31000.0,2.0687424E7,49793.82,53090.96424128102,368621.44,339583.93631560134,36.04,35.03057556606508,18.52,17.51528778303254,18.52,17.51528778303254,7.399999999999999,2.770102775666474,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,78.1875,4.4093070170169487E-4,32000.0,94.39999999999999,94.39999999999999,-64.70588235294117,94.39999999999999,32000.0,2.3799232E7,56823.57999999997,52885.26547586438,417039.3599999999,352236.34003054345,40.52000000000002,36.19574898932138,20.76000000000001,18.09787449466069,20.76000000000001,18.09787449466069,8.099999999999998,2.7199189663799666,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,80.5,4.522525390429008E-4,33000.0,92.4,92.4,-111.1111111111108,92.4,33000.0,1.8925072E7,40596.46000000002,45602.745979444204,335223.5199999999,369208.91249917855,33.36000000000001,36.742212835941615,17.180000000000003,18.371106417970807,17.180000000000003,18.371106417970807,6.819999999999999,3.3116368725314986,0.0,0.0,0.0,0.0,1.0,0.0
